code,name,sector,source,score,cache_time,live_source
300308,中际旭创,自动发现,东方财富成交额排行,98.0125,2026-08-20 15:27:02,东方财富
603259,药明康德,自动发现,东方财富成交额排行,97.56997854077252,2026-08-20 15:27:02,东方财富
002384,东山精密,自动发现,东方财富成交额排行,96.4524517167382,2026-08-20 15:27:02,东方财富
300502,新易盛,自动发现,东方财富成交额排行,96.43620708154506,2026-08-20 15:27:02,东方财富
600176,中国巨石,自动发现,东方财富成交额排行,96.41741416309013,2026-08-20 15:27:02,东方财富
603986,兆易创新,自动发现,东方财富成交额排行,96.0024839055794,2026-08-20 15:27:02,东方财富
688825,长鑫科技,自动发现,东方财富成交额排行,95.82499463519315,2026-08-20 15:27:02,东方财富
600584,长电科技,自动发现,东方财富成交额排行,95.74619098712446,2026-08-20 15:27:02,东方财富
300394,天孚通信,自动发现,东方财富成交额排行,95.39997317596567,2026-08-20 15:27:02,东方财富
600183,生益科技,自动发现,东方财富成交额排行,95.19489806866953,2026-08-20 15:27:02,东方财富
000938,紫光股份,自动发现,东方财富成交额排行,94.75861051502146,2026-08-20 15:27:02,东方财富
300408,三环集团,自动发现,东方财富成交额排行,94.69482832618026,2026-08-20 15:27:02,东方财富
600522,中天科技,自动发现,东方财富成交额排行,94.0973712446352,2026-08-20 15:27:02,东方财富
300476,胜宏科技,自动发现,东方财富成交额排行,93.77364270386266,2026-08-20 15:27:02,东方财富
688525,佰维存储,自动发现,东方财富成交额排行,92.69222103004292,2026-08-20 15:27:02,东方财富
300604,长川科技,自动发现,东方财富成交额排行,92.54099785407726,2026-08-20 15:27:02,东方财富
601899,紫金矿业,自动发现,东方财富成交额排行,92.5087178111588,2026-08-20 15:27:02,东方财富
002371,北方华创,自动发现,东方财富成交额排行,92.40111587982832,2026-08-20 15:27:02,东方财富
603993,洛阳钼业,自动发现,东方财富成交额排行,92.32598712446352,2026-08-20 15:27:02,东方财富
000988,华工科技,自动发现,东方财富成交额排行,92.08594957081546,2026-08-20 15:27:02,东方财富
000725,京东方Ａ,自动发现,东方财富成交额排行,92.05118562231759,2026-08-20 15:27:02,东方财富
002156,通富微电,自动发现,东方财富成交额排行,92.04117489270386,2026-08-20 15:27:02,东方财富
000977,浪潮信息,自动发现,东方财富成交额排行,91.82979077253219,2026-08-20 15:27:02,东方财富
001309,德明利,自动发现,东方财富成交额排行,91.71348175965666,2026-08-20 15:27:02,东方财富
688008,澜起科技,自动发现,东方财富成交额排行,91.65108905579399,2026-08-20 15:27:02,东方财富
601138,工业富联,自动发现,东方财富成交额排行,91.02228004291845,2026-08-20 15:27:02,东方财富
600105,永鼎股份,自动发现,东方财富成交额排行,90.82228540772532,2026-08-20 15:27:02,东方财富
300750,宁德时代,自动发现,东方财富成交额排行,90.76238733905578,2026-08-20 15:27:02,东方财富
688012,中微公司,自动发现,东方财富成交额排行,90.6836534334764,2026-08-20 15:27:02,东方财富
301308,江波龙,自动发现,东方财富成交额排行,90.06346030042918,2026-08-20 15:27:02,东方财富
600487,亨通光电,自动发现,东方财富成交额排行,90.03621244635193,2026-08-20 15:27:02,东方财富
002475,立讯精密,自动发现,东方财富成交额排行,89.8222746781116,2026-08-20 15:27:02,东方财富
601869,长飞光纤,自动发现,东方财富成交额排行,89.45225321888412,2026-08-20 15:27:02,东方财富
300475,香农芯创,自动发现,东方财富成交额排行,89.44334763948497,2026-08-20 15:27:02,东方财富
002428,云南锗业,自动发现,东方财富成交额排行,89.35493025751073,2026-08-20 15:27:02,东方财富
300017,网宿科技,自动发现,东方财富成交额排行,89.25343347639486,2026-08-20 15:27:02,东方财富
301217,铜冠铜箔,自动发现,东方财富成交额排行,89.15971566523605,2026-08-20 15:27:02,东方财富
600667,太极实业,自动发现,东方财富成交额排行,89.15226931330471,2026-08-20 15:27:02,东方财富
002008,大族激光,自动发现,东方财富成交额排行,89.09849248927038,2026-08-20 15:27:02,东方财富
300223,君正股份,自动发现,东方财富成交额排行,89.04339592274678,2026-08-20 15:27:02,东方财富
688256,寒武纪,自动发现,东方财富成交额排行,89.04123927038628,2026-08-20 15:27:02,东方财富
688347,华虹宏力,自动发现,东方财富成交额排行,88.88716738197425,2026-08-20 15:27:02,东方财富
002463,沪电股份,自动发现,东方财富成交额排行,88.87589055793991,2026-08-20 15:27:02,东方财富
002281,光迅科技,自动发现,东方财富成交额排行,88.85238197424893,2026-08-20 15:27:02,东方财富
300433,蓝思科技,自动发现,东方财富成交额排行,88.34231759656652,2026-08-20 15:27:02,东方财富
300857,协创数据,自动发现,东方财富成交额排行,88.24715665236053,2026-08-20 15:27:02,东方财富
002436,兴森科技,自动发现,东方财富成交额排行,87.903428111588,2026-08-20 15:27:02,东方财富
000657,中钨高新,自动发现,东方财富成交额排行,87.71109442060086,2026-08-20 15:27:02,东方财富
300759,康龙化成,自动发现,东方财富成交额排行,87.69358369098713,2026-08-20 15:27:02,东方财富
688981,中芯国际,自动发现,东方财富成交额排行,87.62479613733906,2026-08-20 15:27:02,东方财富
603228,景旺电子,自动发现,东方财富成交额排行,87.59701716738198,2026-08-20 15:27:02,东方财富
002594,比亚迪,自动发现,东方财富成交额排行,87.44083154506437,2026-08-20 15:27:02,东方财富
688361,中科飞测,自动发现,东方财富成交额排行,87.40093884120171,2026-08-20 15:27:02,东方财富
300757,罗博特科,自动发现,东方财富成交额排行,87.39844420600859,2026-08-20 15:27:02,东方财富
002185,华天科技,自动发现,东方财富成交额排行,87.13587982832618,2026-08-20 15:27:02,东方财富
601288,农业银行,自动发现,东方财富成交额排行,86.84585300429185,2026-08-20 15:27:02,东方财富
300285,国瓷材料,自动发现,东方财富成交额排行,86.84487660944207,2026-08-20 15:27:02,东方财富
002851,麦格米特,自动发现,东方财富成交额排行,86.54836373390559,2026-08-20 15:27:02,东方财富
600309,万华化学,自动发现,东方财富成交额排行,86.0844957081545,2026-08-20 15:27:02,东方财富
000021,深科技,自动发现,东方财富成交额排行,85.98578326180257,2026-08-20 15:27:02,东方财富
601208,东材科技,自动发现,东方财富成交额排行,85.67444206008584,2026-08-20 15:27:02,东方财富
301511,德福科技,自动发现,东方财富成交额排行,85.57456545064379,2026-08-20 15:27:02,东方财富
688072,拓荆科技,自动发现,东方财富成交额排行,85.418508583691,2026-08-20 15:27:02,东方财富
688630,芯碁微装,自动发现,东方财富成交额排行,85.17828862660944,2026-08-20 15:27:02,东方财富
600489,中金黄金,自动发现,东方财富成交额排行,85.06840128755366,2026-08-20 15:27:02,东方财富
300418,昆仑万维,自动发现,东方财富成交额排行,84.83109978540773,2026-08-20 15:27:02,东方财富
002353,杰瑞股份,自动发现,东方财富成交额排行,84.71567060085836,2026-08-20 15:27:02,东方财富
600353,旭光电子,自动发现,东方财富成交额排行,84.70966201716737,2026-08-20 15:27:02,东方财富
300666,江丰电子,自动发现,东方财富成交额排行,84.61088519313304,2026-08-20 15:27:02,东方财富
688048,长光华芯,自动发现,东方财富成交额排行,84.54700107296136,2026-08-20 15:27:02,东方财富
300489,光智科技,自动发现,东方财富成交额排行,84.4433261802575,2026-08-20 15:27:02,东方财富
600664,哈药股份,自动发现,东方财富成交额排行,84.24976394849784,2026-08-20 15:27:02,东方财富
688041,海光信息,自动发现,东方财富成交额排行,84.24616952789701,2026-08-20 15:27:02,东方财富
002916,深南电路,自动发现,东方财富成交额排行,84.14699034334764,2026-08-20 15:27:02,东方财富
601398,工商银行,自动发现,东方财富成交额排行,84.08330472103006,2026-08-20 15:27:02,东方财富
300136,信维通信,自动发现,东方财富成交额排行,83.81959227467812,2026-08-20 15:27:02,东方财富
300058,蓝色光标,自动发现,东方财富成交额排行,83.8145439914163,2026-08-20 15:27:02,东方财富
603629,利通电子,自动发现,东方财富成交额排行,83.6273551502146,2026-08-20 15:27:02,东方财富
688521,芯原股份,自动发现,东方财富成交额排行,83.52222639484978,2026-08-20 15:27:02,东方财富
000703,恒逸石化,自动发现,东方财富成交额排行,83.4733744635193,2026-08-20 15:27:02,东方财富
300059,东方财富,自动发现,东方财富成交额排行,83.42195815450644,2026-08-20 15:27:02,东方财富
600330,天通股份,自动发现,东方财富成交额排行,83.37220493562232,2026-08-20 15:27:02,东方财富
601872,招商轮船,自动发现,东方财富成交额排行,83.27202253218884,2026-08-20 15:27:02,东方财富
002484,江海股份,自动发现,东方财富成交额排行,83.21079935622318,2026-08-20 15:27:02,东方财富
600498,烽火通信,自动发现,东方财富成交额排行,83.0356974248927,2026-08-20 15:27:02,东方财富
600519,贵州茅台,自动发现,东方财富成交额排行,83.02958690987126,2026-08-20 15:27:02,东方财富
600362,江西铜业,自动发现,东方财富成交额排行,82.8255847639485,2026-08-20 15:27:02,东方财富
688702,盛科通信-U,自动发现,东方财富成交额排行,82.69450643776824,2026-08-20 15:27:02,东方财富
600036,招商银行,自动发现,东方财富成交额排行,82.64952789699572,2026-08-20 15:27:02,东方财富
002080,中材科技,自动发现,东方财富成交额排行,82.5432296137339,2026-08-20 15:27:02,东方财富
