code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,held,cost,position_pnl,event_note,signal,action,final_score,priority
688200,华峰测控,半导体设备,核心池,372.91,-11.63,420.0,422.0,370.0,422.0,310334.0,3.94,1.14,20260717161434,0.055961538461538944,-11.63270142180094,0.7864864864864929,-11.211904761904757,半导体ETF,E,7.53,-3.95,66.98,0.0,64.96,False,0.0,0.0,,行业禁买,半导体ETF为E级，停止新增,64.96,1
300900,广联航空,低空经济,核心池,24.62,-10.83,27.35,27.5,24.35,27.61,53437.0,8.11,0.64,20260717161418,0.08571428571428562,-10.472727272727267,1.1088295687885052,-9.981718464351008,军工ETF,E,20.17,-5.65,65.46,0.0,64.59,False,0.0,0.0,,行业禁买,军工ETF为E级，停止新增,64.59,1
688361,中科飞测,半导体设备,核心池,311.19,-11.26,348.8,351.0,308.0,350.69,478162.0,4.13,1.22,20260717161441,0.07418604651162786,-11.341880341880339,1.0357142857142954,-10.78268348623853,半导体ETF,E,7.53,-3.58,67.36,0.0,63.91,False,0.0,0.0,,行业禁买,半导体ETF为E级，停止新增,63.91,1
688037,芯源微,半导体设备,核心池,310.59,-11.01,354.55,354.98,305.0,349.0,263014.0,3.98,1.05,20260717161447,0.11184473789515752,-12.504929855203118,1.832786885245885,-12.398815399802576,半导体ETF,E,7.53,-3.33,66.84,0.0,63.08,False,0.0,0.0,,行业禁买,半导体ETF为E级，停止新增,63.08,1
002025,航天电器,商业航天,核心池,64.76,-9.99,71.63,72.0,64.76,71.95,148648.0,4.9,0.74,20260717161433,0.0,-10.05555555555555,0.0,-9.590953511098688,军工ETF,E,20.17,-4.81,66.34,0.0,62.22,False,0.0,0.0,,行业禁买,军工ETF为E级，停止新增,62.22,1
300502,新易盛,光模块/CPO,核心池,482.88,-11.01,518.0,520.9,452.96,542.6,3748557.0,6.06,1.57,20260717161445,0.4403885781571978,-7.298905740065265,6.605439773931487,-6.779922779922776,通信ETF,E,0.0,-1.04,69.15,7.24,62.09,False,0.0,0.0,,行业禁买,通信ETF为E级，停止新增,62.09,1
688183,生益电子,PCB,核心池,113.49,-11.09,126.36,126.6,112.93,127.65,266638.0,2.67,0.98,20260717161452,0.04096561814191577,-10.355450236966824,0.4958824050296462,-10.185185185185187,通信ETF,E,0.0,-1.12,66.85,0.0,61.97,False,0.0,0.0,,行业禁买,通信ETF为E级，停止新增,61.97,1
600118,中国卫星,商业航天,核心池,62.35,-9.85,68.0,68.85,62.24,69.16,436881.0,5.71,0.86,20260717161458,0.016641452344931855,-9.440813362381984,0.17673521850900542,-8.308823529411757,军工ETF,E,20.17,-4.67,67.28,0.0,61.95,False,0.0,0.0,,行业禁买,军工ETF为E级，停止新增,61.95,1
300476,胜宏科技,PCB,核心池,241.5,-10.86,266.55,268.1,236.96,270.93,1115349.0,5.15,1.24,20260717161424,0.14579319203596627,-9.921671018276768,1.9159351789331591,-9.39786156443444,通信ETF,E,0.0,-0.89,68.09,0.0,61.48,False,0.0,0.0,,行业禁买,通信ETF为E级，停止新增,61.48,1
002747,埃斯顿,机器人,核心池,38.19,-9.99,42.01,42.45,38.19,42.43,254690.0,8.36,0.58,20260717161427,0.0,-10.035335689045944,0.0,-9.093073077838609,机器人ETF,E,15.19,-5.15,66.81,0.0,61.39,False,0.0,0.0,,行业禁买,机器人ETF为E级，停止新增,61.39,1
688409,富创精密,半导体设备,核心池,193.99,-10.46,220.97,221.23,193.99,216.64,198351.0,3.1,0.95,20260717161454,0.0,-12.312977444288741,0.0,-12.20980223559759,半导体ETF,E,7.53,-2.78,66.59,0.0,61.39,False,0.0,0.0,,行业禁买,半导体ETF为E级，停止新增,61.39,1
603728,鸣志电器,机器人,核心池,49.54,-9.93,55.08,55.88,49.54,55.0,56012.0,2.58,1.13,20260717161431,0.0,-11.345740873299937,0.0,-10.05809731299927,机器人ETF,E,15.19,-5.09,65.5,0.0,61.0,False,0.0,0.0,,行业禁买,机器人ETF为E级，停止新增,61.0,1
600584,长电科技,封测,核心池,85.49,2.74,82.0,90.15,77.71,83.21,2078160.0,14.11,1.01,20260717161455,0.6254019292604497,-5.169162506932901,10.011581521039759,4.256097560975602,半导体ETF,E,7.53,10.42,72.64,60.59,0.0,False,0.0,0.0,2026-07-15公告：长电科技:江苏长电科技股份有限公司2026年半年度业绩预增公告,行业禁买,半导体ETF为E级，停止新增,60.59,1
603986,兆易创新,存储芯片,核心池,463.15,-10.0,500.0,509.88,463.15,514.61,3212231.0,10.05,1.01,20260717161454,0.0,-9.164901545461678,0.0,-7.37000000000001,芯片ETF,E,7.32,-3.0,69.01,0.0,60.36,False,0.0,0.0,,行业禁买,芯片ETF为E级，停止新增,60.36,1
002156,通富微电,封测,核心池,68.36,-9.99,74.97,75.94,68.36,75.95,1404001.0,13.05,0.83,20260717161403,0.0,-9.981564392941799,0.0,-8.816860077364275,半导体ETF,E,7.53,-2.31,68.29,0.0,60.25,False,0.0,0.0,,行业禁买,半导体ETF为E级，停止新增,60.25,1
603228,景旺电子,PCB,核心池,71.7,1.29,67.96,75.3,66.8,70.79,608321.0,8.57,2.19,20260717161500,0.5764705882352947,-4.7808764940239,7.335329341317376,5.503237198351996,通信ETF,E,0.0,11.26,67.57,60.2,0.0,False,0.0,0.0,,行业禁买,通信ETF为E级，停止新增,60.2,1
600183,生益科技,PCB,核心池,132.29,-10.0,144.84,146.0,132.29,146.99,1021733.0,3.16,0.97,20260717161453,0.0,-9.390410958904116,0.0,-8.664733499033428,通信ETF,E,0.0,-0.03,72.02,0.3,59.52,False,0.0,0.0,2026-07-14公告：生益科技:生益科技2026年半年度业绩预增公告,行业禁买,通信ETF为E级，停止新增,59.52,1
300347,泰格医药,CXO,核心池,49.02,-9.21,52.51,53.35,47.85,53.99,164109.0,5.76,1.01,20260717161442,0.21272727272727304,-8.116213683223993,2.445141065830714,-6.6463530756046385,医疗ETF,E,17.63,-4.71,66.43,0.0,59.43,False,0.0,0.0,,行业禁买,医疗ETF为E级，停止新增,59.43,1
002384,东山精密,PCB/消费电子,核心池,241.92,-10.0,258.01,260.0,241.92,268.8,2677433.0,7.87,0.97,20260717161415,0.0,-6.953846153846155,0.0,-6.236192395643581,通信ETF,E,0.0,-0.03,68.86,3.02,59.02,False,0.0,0.0,,行业禁买,通信ETF为E级，停止新增,59.02,1
603019,中科曙光,国产算力,核心池,87.89,-10.0,96.67,98.64,87.89,97.66,899910.0,6.67,0.86,20260717161445,0.0,-10.898215733982152,0.0,-9.082445432916108,人工智能ETF,E,0.42,-1.02,67.91,0.0,58.94,False,0.0,0.0,,行业禁买,人工智能ETF为E级，停止新增,58.94,1
