kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location
index,sh000001,000001,上证指数,3878.4,-0.0,3864.27,3896.46,3864.27,3878.43,84314753.0,20260806131121,0.43895619757688986
index,sz399001,399001,深证成指,14040.98,-0.73,13981.44,14252.14,13922.41,14144.2,99070448.0,20260806131118,0.359597246231765
index,sz399006,399006,创业板指,3496.86,-1.08,3472.15,3574.41,3444.36,3535.14,48149901.0,20260806131118,0.40369088811995474
index,sh000688,000688,科创50,1684.77,-0.53,1651.11,1727.73,1651.11,1693.67,9037487.0,20260806131121,0.43931088488645303
index,sh000300,000300,沪深300,4629.6,-0.61,4621.8,4675.65,4611.07,4658.15,54559454.0,20260806131121,0.2869309383710232
index,sh000905,000905,中证500,7781.68,-0.35,7737.59,7868.85,7722.57,7809.21,35938509.0,20260806131121,0.4040880503144676
index,sh000852,000852,中证1000,7491.2,-0.02,7440.01,7564.69,7434.49,7493.05,38736951.0,20260806131121,0.4355606758832574
