code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open
002475,立讯精密,自动发现,今日自动发现,56.78,1.57,56.13,58.0,55.88,55.9,872128.0,2.08,0.93,20260807143833,0.4245283018867923,-2.103448275862063,1.6105941302791749,1.1580260110457763
688008,澜起科技,自动发现,今日自动发现,214.6,2.99,207.05,217.47,205.0,208.36,1031106.0,4.21,0.98,20260807143831,0.7698476343223734,-1.3197222605416892,4.682926829268297,3.6464622071963104
688825,长鑫科技,自动发现,今日自动发现,52.24,0.54,51.01,53.15,50.06,51.96,2478312.0,10.63,0.85,20260807143833,0.7055016181229781,-1.7121354656632115,4.354774270874939,2.4112919035483404
000977,浪潮信息,自动发现,今日自动发现,77.88,1.42,76.41,79.3,75.05,76.79,674953.0,5.96,1.06,20260807143833,0.665882352941176,-1.7906683480453989,3.770819453697527,1.9238319591676545
300604,长川科技,自动发现,今日自动发现,282.63,1.47,280.01,286.47,271.33,278.53,576254.0,4.2,0.71,20260807143833,0.7463672391017159,-1.340454497853194,4.1646703276453145,0.9356808685404117
600584,长电科技,自动发现,今日自动发现,77.55,2.21,75.15,78.74,73.97,75.87,1640879.0,11.99,1.38,20260807143831,0.7505241090146754,-1.5113030226060475,4.839799918886034,3.1936127744510934
002384,东山精密,自动发现,今日自动发现,195.14,3.97,190.0,202.18,190.0,187.68,1881246.0,6.91,1.03,20260807143833,0.42200328407224824,-3.482045701849845,2.7052631578947217,2.7052631578947217
000938,紫光股份,自动发现,今日自动发现,37.97,0.08,37.7,38.62,37.25,37.94,1062597.0,9.82,0.88,20260807143833,0.5255474452554746,-1.6830657690315887,1.9328859060402603,0.7161803713527704
300857,协创数据,自动发现,今日自动发现,251.95,0.74,245.14,253.39,241.66,250.11,635712.0,5.24,0.87,20260807143833,0.8772378516624042,-0.5682939342515514,4.258048497889599,2.778004405645751
000636,风华高科,自动发现,今日自动发现,59.0,1.24,57.18,61.79,55.52,58.28,1093533.0,16.29,0.96,20260807143833,0.555023923444976,-4.515293736850623,6.268011527377526,3.182931094788377
600105,永鼎股份,自动发现,今日自动发现,39.04,1.72,37.99,39.91,37.27,38.38,696282.0,12.27,0.89,20260807143833,0.6704545454545456,-2.179904785767972,4.749127984974488,2.7638852329560315
600549,厦门钨业,自动发现,今日自动发现,59.0,2.66,55.99,59.48,54.6,57.47,659501.0,7.48,1.49,20260807143833,0.9016393442622956,-0.8069939475453869,8.058608058608051,5.375959992855872
603993,洛阳钼业,自动发现,今日自动发现,20.71,1.67,20.55,20.99,20.21,20.37,502605.0,1.39,1.03,20260807143831,0.641025641025643,-1.3339685564554449,2.474022761009409,0.778588807785896
000988,华工科技,自动发现,今日自动发现,106.47,3.36,105.0,108.56,102.85,103.01,876177.0,8.19,1.33,20260807143833,0.6339754816112083,-1.9252026529108401,3.5196888672824445,1.4000000000000012
600522,中天科技,自动发现,今日自动发现,33.58,4.0,32.2,34.08,32.03,32.29,1047768.0,9.23,1.32,20260807143833,0.7560975609756094,-1.467136150234738,4.839213237589757,4.2857142857142705
688146,中船特气,自动发现,今日自动发现,312.5,1.46,304.0,316.0,299.0,308.0,707685.0,15.87,0.98,20260807143832,0.7941176470588235,-1.1075949367088556,4.515050167224088,2.796052631578938
601869,长飞光纤,自动发现,今日自动发现,338.06,2.99,328.04,345.0,326.88,328.25,503679.0,3.68,1.14,20260807143832,0.6169977924944815,-2.011594202898548,3.420215369554569,3.054505548103892
