kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location
index,sh000001,000001,上证指数,3912.17,-1.96,3952.12,3961.14,3910.96,3990.3,78406894.0,20260819114300,0.024113192506975693
index,sz399001,399001,深证成指,14041.76,-3.97,14316.98,14367.37,14038.15,14622.5,83407890.0,20260819114312,0.01096531194945802
index,sz399006,399006,创业板指,3520.97,-4.98,3605.52,3622.5,3519.63,3705.56,40415461.0,20260819114327,0.013026149509086149
index,sh000688,000688,科创50,1682.2,-6.07,1738.91,1748.52,1682.08,1790.87,8345823.0,20260819114300,0.0018061408789903392
index,sh000300,000300,沪深300,4611.77,-2.41,4660.06,4674.38,4610.03,4725.81,42728290.0,20260819114300,0.027039627039637627
index,sh000905,000905,中证500,7865.71,-3.81,8029.52,8050.08,7865.28,8177.18,30751647.0,20260819114300,0.0023268398268413994
index,sh000852,000852,中证1000,7594.55,-4.42,7795.26,7821.18,7592.78,7945.96,35039928.0,20260819114300,0.007749562171630614
