code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,event_risk_value,event_hard_veto,event_unknown,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
300604,长川科技,自动发现,今日自动发现,275.74,4.6,262.68,275.74,261.08,263.62,190875.0,1.46,1.36,20260826103900,1.0,0.0,5.6151371227210145,4.971828841175574,,C,50.0,4.6,54.56,93.57,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,93.57,0,未知,96.57,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
601899,紫金矿业,有色金属,核心池,35.3,4.81,33.7,35.35,33.7,33.68,647354.0,0.9,2.14,20260826103901,0.9696969696969671,-0.14144271570015743,4.7477744807121525,4.7477744807121525,有色金属ETF,S,95.98,0.64,59.62,98.45,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：紫金矿业:紫金矿业集团股份有限公司2026年半年度报告；近期业绩公告：紫金矿业:紫金矿业集团股份有限公司2026年半年度报告摘要；近期业绩公告：紫金矿业:紫金矿业集团股份有限公司关于召开2026年半年度业绩说明会的公告,8.0,False,False,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,98.45,10,高潮,95.45,A,所属ETF强；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,板块可能处于高潮,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
000426,兴业银锡,自动发现,今日自动发现,41.47,4.99,40.21,41.5,39.55,39.5,203812.0,2.83,1.56,20260826103900,0.984615384615384,-0.07228915662650381,4.854614412136549,3.133548868440683,,C,50.0,4.99,54.62,91.85,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,91.85,0,未知,94.85,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
688012,中微公司,半导体设备,核心池,362.63,2.44,352.0,362.95,349.0,354.0,196209.0,0.59,1.01,20260826103859,0.977060931899642,-0.0881664141066274,3.9054441260744976,3.0198863636363704,半导体ETF,B,64.3,1.45,58.59,87.45,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：中微公司:2026年半年度报告；近期业绩公告：中微公司:2026年半年度报告摘要,8.0,False,False,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,87.45,10,启动,92.45,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；板块处于启动阶段,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
000630,铜陵有色,自动发现,今日自动发现,6.75,4.98,6.45,6.76,6.44,6.43,174665.0,2.35,3.35,20260826103900,0.9687500000000006,-0.14792899408283544,4.813664596273282,4.6511627906976605,,C,50.0,4.98,54.48,89.01,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,89.01,0,未知,92.01,A,明显强于行业；价格接近日内强势区；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
601318,中国平安,保险,核心池,55.94,1.69,54.87,56.12,54.66,55.01,273895.0,0.46,1.9,20260826103901,0.8767123287671236,-0.32074126870991204,2.3417489937797242,1.9500637871332271,沪深300ETF,A,73.13,0.52,58.88,84.71,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：中国平安:中国平安关于披露平安银行2026年半年度报告摘要的公告；近期业绩公告：中国平安:平安银行股份有限公司2026年半年度报告摘要,8.0,False,False,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,84.71,10,发酵,91.71,A,所属ETF强；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；板块处于发酵阶段,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
688981,中芯国际,晶圆制造,核心池,122.44,2.03,120.5,122.49,120.22,120.0,147629.0,0.61,0.97,20260826103900,0.9779735682819395,-0.04081965874764837,1.8466145400099832,1.609958506224074,半导体ETF,B,64.3,1.04,66.34,85.94,0.0,0.0,,False,0.0,0,,0.0,False,False,快吃肉候选,仅小仓1手；尾盘确认且不得急拉追入,85.94,10,启动,90.94,A,价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好；板块处于启动阶段,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
603799,华友钴业,自动发现,今日自动发现,40.44,3.35,39.13,40.47,39.13,39.13,121014.0,1.61,1.81,20260826103902,0.9776119402985065,-0.0741289844329196,3.347814975721941,3.347814975721941,,C,50.0,3.35,46.17,85.81,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：华友钴业:华友钴业2026年半年度报告；近期业绩公告：华友钴业:华友钴业2026年半年度报告摘要,8.0,False,False,回避,当前无优势,85.81,0,未知,88.81,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
