kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location
index,sh000001,000001,上证指数,3881.63,-0.17,3867.02,3895.51,3867.02,3888.11,66525064.0,20260914141542,0.512811512811513
index,sz399001,399001,深证成指,13378.85,-0.69,13333.07,13502.25,13288.83,13471.26,72797417.0,20260914141542,0.421797394808361
index,sz399006,399006,创业板指,3287.15,-1.05,3279.31,3331.05,3262.49,3322.04,33874077.0,20260914141542,0.35968494749125096
index,sh000688,000688,科创50,1528.25,-1.62,1526.8,1542.25,1516.52,1553.39,5166354.0,20260914141542,0.45588806840264323
index,sh000300,000300,沪深300,4478.78,-0.7,4474.95,4504.49,4473.27,4510.16,34099748.0,20260914141542,0.1764894298526401
index,sh000905,000905,中证500,7559.2,-0.28,7511.04,7610.03,7487.46,7580.54,23314679.0,20260914141542,0.585298196948682
index,sh000852,000852,中证1000,7459.01,0.43,7363.42,7501.14,7329.6,7427.24,30674867.0,20260914141542,0.7544013058178843
