kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location
etf,sh512760,512760,芯片ETF,1.14,2.52,1.082,1.14,1.078,1.112,28780.0,20260806104257,1.0
etf,sh512480,512480,半导体ETF,1.06,2.61,1.002,1.06,1.002,1.033,104035.0,20260806104254,1.0
etf,sh588200,588200,科创芯片ETF,1.192,2.23,1.131,1.194,1.118,1.166,234320.0,20260806104256,0.9736842105263157
etf,sh515880,515880,通信ETF,0.661,2.96,0.62,0.661,0.618,0.642,233049.0,20260806104254,1.0
etf,sh515980,515980,人工智能ETF,1.077,0.65,1.041,1.079,1.034,1.07,13133.0,20260806104254,0.9555555555555555
etf,sh516820,516820,机器人ETF,0.349,-0.85,0.353,0.354,0.348,0.352,1345.0,20260806104254,0.16666666666666666
etf,sh512170,512170,医疗ETF,0.333,-1.19,0.338,0.339,0.333,0.337,34655.0,20260806104256,0.0
etf,sh512880,512880,证券ETF,1.097,-1.08,1.104,1.108,1.097,1.109,99952.0,20260806104254,0.0
etf,sh512690,512690,酒ETF,0.433,-0.92,0.437,0.437,0.431,0.437,37448.0,20260806104255,0.3333333333333333
etf,sh515030,515030,新能源车ETF,1.643,-1.2,1.663,1.663,1.639,1.663,6678.0,20260806104255,0.16666666666666666
etf,sh515790,515790,光伏ETF,0.847,-0.94,0.849,0.853,0.843,0.855,7539.0,20260806104255,0.4
etf,sh516510,516510,云计算ETF,1.783,0.34,1.737,1.787,1.733,1.777,12310.0,20260806104254,0.9259259259259256
etf,sh515400,515400,大数据ETF,0.913,-0.22,0.9,0.918,0.894,0.915,8672.0,20260806104256,0.7916666666666666
etf,sh512400,512400,有色金属ETF,1.933,1.58,1.95,1.959,1.923,1.903,100202.0,20260806104256,0.2777777777777778
etf,sh515220,515220,煤炭ETF,1.205,2.64,1.174,1.208,1.171,1.174,49157.0,20260806104255,0.9189189189189216
etf,sh510300,510300,沪深300ETF,4.723,0.19,4.688,4.725,4.668,4.714,226627.0,20260806104255,0.9649122807017579
etf,sh518880,518880,黄金ETF,8.862,2.57,8.88,8.905,8.83,8.64,368538.0,20260806104254,0.4266666666666711
etf,sh510880,510880,红利ETF,3.237,0.28,3.227,3.248,3.227,3.228,36024.0,20260806104255,0.4761904761904792
etf,sh512660,512660,军工ETF,1.137,0.09,1.13,1.142,1.125,1.136,14024.0,20260806104254,0.7058823529411811
