code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,held,cost,position_pnl,event_note,signal,action,final_score,priority
300548,博创科技,光通信,核心池,153.35,-7.74,172.98,177.55,147.0,166.21,282177.0,6.39,1.13,20260720161442,0.20785597381342036,-13.629963390594213,4.319727891156466,-11.348132732107752,通信ETF,E,26.95,-5.62,66.9,0.0,59.87,False,0,0,,行业禁买,通信ETF为E级，停止新增,59.87,1
002156,通富微电,封测,核心池,63.0,-7.84,70.02,72.0,61.53,68.36,1347998.0,13.22,0.84,20260720161430,0.14040114613180507,-12.5,2.3890784982935065,-10.025706940874034,半导体ETF,E,21.74,-5.04,68.26,0.0,59.45,False,0,0,,行业禁买,半导体ETF为E级，停止新增,59.45,1
300476,胜宏科技,PCB,核心池,224.11,-7.2,246.7,248.36,213.3,241.5,1049895.0,5.33,1.31,20260720161421,0.3083285795778666,-9.764052182315996,5.067979371776832,-9.156870693149566,通信ETF,E,26.95,-5.08,68.04,0.0,58.43,False,0,0,,行业禁买,通信ETF为E级，停止新增,58.43,1
603986,兆易创新,存储芯片,核心池,432.3,-6.66,479.0,485.87,416.88,463.15,3226037.0,10.66,1.14,20260720161456,0.22351065371793033,-11.025582974869819,3.698906160046067,-9.749478079331942,芯片ETF,E,28.5,-4.5,69.02,0.0,57.25,False,0,0,,行业禁买,芯片ETF为E级，停止新增,57.25,1
600183,生益科技,PCB,核心池,123.34,-6.77,136.0,136.0,119.06,132.29,1185104.0,3.95,1.17,20260720161434,0.2526564344746164,-9.308823529411757,3.5948261380816415,-9.308823529411757,通信ETF,E,26.95,-4.65,68.15,0.0,57.16,False,0,0,,行业禁买,通信ETF为E级，停止新增,57.16,1
300223,北京君正,芯片设计,核心池,143.65,-6.61,162.0,163.9,137.84,153.82,661526.0,10.43,1.09,20260720161415,0.22294704528012285,-12.35509456985967,4.215031921067913,-11.32716049382716,芯片ETF,E,28.5,-4.45,67.64,0.0,56.88,False,0,0,,行业禁买,芯片ETF为E级，停止新增,56.88,1
688082,盛美上海,半导体设备,核心池,282.45,-6.01,309.52,315.0,272.0,300.5,270237.0,1.93,1.07,20260720161459,0.24302325581395323,-10.33333333333334,3.8419117647058743,-8.745799948307054,半导体ETF,E,21.74,-3.21,66.86,2.02,53.74,False,0,0,,行业禁买,半导体ETF为E级，停止新增,53.74,1
300502,新易盛,光模块/CPO,核心池,510.0,5.62,512.0,523.96,481.5,482.88,3453079.0,5.44,1.28,20260720161409,0.6712199717381059,-2.6643255210321515,5.919003115264787,-0.390625,通信ETF,E,26.95,7.74,69.08,53.47,0.0,False,0,0,,行业禁买,通信ETF为E级，停止新增,53.47,1
688019,安集科技,半导体材料,核心池,224.58,-6.06,245.0,248.0,217.3,239.06,270392.0,5.13,1.0,20260720161455,0.23713355048859946,-9.443548387096767,3.350207086976531,-8.334693877551015,半导体ETF,E,21.74,-3.26,62.86,1.55,53.25,False,0,0,2026-07-16公告：安集科技:部分董事及高级管理人员减持股份结果公告,行业禁买,半导体ETF为E级，停止新增,53.25,1
688536,思瑞浦,模拟芯片,核心池,229.0,-5.4,250.31,255.9,223.0,242.08,141033.0,4.36,1.16,20260720161435,0.18237082066869298,-10.511918718249314,2.6905829596412634,-8.513443330270466,芯片ETF,E,28.5,-3.24,66.3,3.39,53.03,False,0,0,,行业禁买,芯片ETF为E级，停止新增,53.03,1
688120,华海清科,半导体设备,核心池,227.97,-5.67,247.0,252.99,221.02,241.67,448254.0,3.85,0.96,20260720161444,0.21739130434782575,-9.889718961223771,3.1445118088860635,-7.704453441295545,半导体ETF,E,21.74,-2.87,67.3,4.04,52.79,False,0,0,,行业禁买,半导体ETF为E级，停止新增,52.79,1
301308,江波龙,存储芯片,核心池,376.49,-4.93,414.1,416.98,361.72,396.0,764211.0,6.98,1.01,20260720161448,0.26728193992037613,-9.710297856012284,4.0832688267167905,-9.082347259116164,芯片ETF,E,28.5,-2.77,67.77,5.68,51.86,False,0,0,,行业禁买,芯片ETF为E级，停止新增,51.86,1
688200,华峰测控,半导体设备,核心池,353.06,-5.32,391.56,395.0,340.03,372.91,275697.0,3.75,1.03,20260720161435,0.2370383845734041,-10.617721518987345,3.8320148222215744,-9.832465011747882,半导体ETF,E,21.74,-2.52,66.88,2.33,51.67,False,0,0,,行业禁买,半导体ETF为E级，停止新增,51.67,1
688126,沪硅产业,半导体材料,核心池,25.3,-5.1,27.62,27.94,24.25,26.66,398745.0,5.39,1.0,20260720161458,0.2845528455284554,-9.4488188976378,4.329896907216502,-8.399710354815348,半导体ETF,E,21.74,-2.3,67.2,5.81,51.06,False,0,0,,行业禁买,半导体ETF为E级，停止新增,51.06,1
603893,瑞芯微,芯片设计,核心池,208.0,2.97,205.23,216.0,193.36,202.0,657101.0,7.54,1.21,20260720161437,0.6466431095406359,-3.703703703703709,7.571369466280498,1.3497052087901418,芯片ETF,E,28.5,5.13,67.64,48.48,0.0,False,0,0,,行业禁买,芯片ETF为E级，停止新增,48.48,1
688981,中芯国际,晶圆制造,核心池,144.0,2.95,145.0,147.47,138.11,139.88,1346494.0,4.7,0.95,20260720161449,0.6292735042735038,-2.353020953414253,4.264716530301915,-0.6896551724137945,半导体ETF,E,21.74,5.75,68.26,44.9,0.0,False,0,0,,行业禁买,半导体ETF为E级，停止新增,44.9,1
688008,澜起科技,存储/接口芯片,核心池,189.94,3.45,195.0,198.0,180.25,183.6,1454518.0,6.74,1.0,20260720161500,0.5459154929577463,-4.070707070707069,5.3758668515950125,-2.5948717948718003,芯片ETF,E,28.5,5.61,76.33,44.34,0.0,False,0,0,2026-07-17公告：澜起科技:澜起科技2026年半年度业绩预增的自愿性公告；2026-07-17公告：澜起科技:澜起科技关于董事长兼首席执行官提议公司回购A股股份的公告,行业禁买,芯片ETF为E级，停止新增,44.34,1
300308,中际旭创,光模块/CPO,核心池,1004.0,2.51,1028.43,1057.77,967.68,979.46,4609438.0,4.09,1.22,20260720161427,0.4031524031524036,-5.083335696796087,3.7533068783068835,-2.375465515397257,通信ETF,E,26.95,4.63,69.33,37.52,0.0,False,0,0,,行业禁买,通信ETF为E级，停止新增,37.52,1
300394,天孚通信,光模块/CPO,核心池,213.54,1.03,225.0,227.71,200.0,211.37,1121142.0,4.79,1.24,20260720161448,0.48863226272103893,-6.222827280312682,6.769999999999987,-5.093333333333339,通信ETF,E,26.95,3.15,68.1,30.93,0.0,False,0,0,,行业禁买,通信ETF为E级，停止新增,30.93,1
603228,景旺电子,PCB,核心池,71.8,0.14,75.11,76.15,69.0,71.7,463879.0,6.39,1.35,20260720161458,0.3916083916083909,-5.712409717662514,4.057971014492745,-4.406869924111312,通信ETF,E,26.95,2.26,67.33,27.57,0.0,False,0,0,,行业禁买,通信ETF为E级，停止新增,27.57,1
002371,北方华创,半导体设备,核心池,676.91,-0.01,704.0,716.66,659.1,677.0,1204071.0,2.41,1.16,20260720161430,0.3094162612925636,-5.546563223843948,2.702169625246542,-3.848011363636372,半导体ETF,E,21.74,2.79,68.16,26.76,0.0,False,0,0,,行业禁买,半导体ETF为E级，停止新增,26.76,1
300913,兆龙互连,高速铜缆,核心池,32.48,-2.23,33.81,34.42,31.21,33.22,27041.0,2.85,1.16,20260720161433,0.39563862928348775,-5.636257989540983,4.069208586991335,-3.9337474120082927,通信ETF,E,26.95,-0.11,64.86,21.26,0.0,False,0,0,,行业禁买,通信ETF为E级，停止新增,21.26,1
688012,中微公司,半导体设备,核心池,342.5,-2.34,355.0,361.97,332.99,350.69,1271941.0,3.89,1.1,20260720161444,0.3281573498964798,-5.378898803768273,2.855941619868463,-3.5211267605633756,半导体ETF,E,21.74,0.46,68.21,21.12,0.0,False,0,0,,行业禁买,半导体ETF为E级，停止新增,21.12,1
603501,豪威集团,芯片设计,核心池,101.16,-2.84,106.0,106.99,97.99,104.12,440008.0,3.58,0.92,20260720161439,0.35222222222222244,-5.449107393214314,3.235023982038987,-4.56603773584906,芯片ETF,E,28.5,-0.68,63.29,18.27,0.0,False,0,0,2026-07-17公告：豪威集团:关于控股股东部分股权质押及解除质押的公告,行业禁买,芯片ETF为E级，停止新增,18.27,1
002938,鹏鼎控股,PCB,核心池,90.89,-3.2,95.97,98.0,86.9,93.89,362106.0,1.7,0.84,20260720161448,0.3594594594594592,-7.255102040816331,4.591484464902185,-5.293320829425863,通信ETF,E,26.95,-1.08,67.12,16.52,0.0,False,0,0,,行业禁买,通信ETF为E级，停止新增,16.52,1
688361,中科飞测,半导体设备,核心池,305.38,-1.87,324.87,338.85,300.01,311.19,457862.0,4.08,1.15,20260720161446,0.138259526261586,-9.87752692931977,1.78994033532216,-5.999322806045493,半导体ETF,E,21.74,0.93,67.32,15.5,0.0,False,0,0,,行业禁买,半导体ETF为E级，停止新增,15.5,1
002916,深南电路,PCB,核心池,324.36,-2.89,344.02,354.99,314.37,334.0,509313.0,2.28,0.91,20260720161442,0.24593796159527345,-8.628412067945579,3.1777841397079953,-5.7147840241846275,通信ETF,E,26.95,-0.77,67.41,14.87,0.0,False,0,0,,行业禁买,通信ETF为E级，停止新增,14.87,1
688525,佰维存储,存储芯片,核心池,244.0,-3.5,266.0,268.03,227.03,252.86,1100397.0,9.48,1.04,20260720161445,0.4139024390243905,-8.96541431929261,7.47478306831697,-8.270676691729328,芯片ETF,E,28.5,-1.34,68.08,13.37,0.0,False,0,0,,行业禁买,芯片ETF为E级，停止新增,13.37,1
688037,芯源微,半导体设备,核心池,298.75,-3.81,320.0,327.99,285.21,310.59,249569.0,3.99,1.06,20260720161458,0.3165030388031793,-8.914905942254336,4.74737912415415,-6.640625,半导体ETF,E,21.74,-1.01,66.79,12.27,0.0,False,0,0,,行业禁买,半导体ETF为E级，停止新增,12.27,1
301511,德福科技,自动发现,今日自动发现,76.98,-20.0,98.14,99.0,76.98,96.22,406695.0,12.95,1.8,20260720161409,0.0,-22.242424242424242,0.0,-21.561035255757076,,C,50.0,-20.0,55.22,0.0,98.93,False,0,0,,回避,当前无优势,98.93,0
688146,中船特气,自动发现,今日自动发现,200.8,-20.0,252.0,257.99,200.8,251.0,399955.0,12.43,1.06,20260720161438,0.0,-22.16752587309585,0.0,-20.317460317460313,,C,50.0,-20.0,55.2,0.0,98.93,False,0,0,,回避,当前无优势,98.93,0
301526,国际复材,自动发现,今日自动发现,26.7,-15.48,33.0,33.47,25.44,31.59,574869.0,14.33,1.23,20260720161421,0.1569115815691156,-20.227069017030175,4.952830188679247,-19.090909090909093,,C,50.0,-15.48,55.52,0.0,85.42,False,0,0,,回避,当前无优势,85.42,0
601991,大唐发电,自动发现,今日自动发现,6.38,10.0,5.68,6.38,5.45,5.8,518306.0,6.9,1.67,20260720161459,1.0,0.0,17.064220183486235,12.323943661971825,,C,50.0,10.0,55.43,83.51,0.0,False,0,0,,回避,当前无优势,83.51,0
688110,东芯股份,自动发现,今日自动发现,100.38,-14.08,121.11,121.99,94.46,116.83,400175.0,8.56,1.79,20260720161457,0.21503814021067932,-17.71456676776785,6.267203048909598,-17.116670795144916,,C,50.0,-14.08,55.2,0.0,81.17,False,0,0,,回避,当前无优势,81.17,0
300750,宁德时代,新能源车,核心池,376.43,4.56,354.0,377.6,353.8,360.0,1663278.0,1.05,1.11,20260720161409,0.9508403361344532,-0.309851694915253,6.396269078575467,6.336158192090391,新能源车ETF,C,55.65,6.88,68.44,78.58,0.0,False,0,0,,回避,当前无优势,78.58,0
300285,国瓷材料,自动发现,今日自动发现,49.92,-11.83,59.95,60.2,47.77,56.62,516587.0,11.5,1.21,20260720161448,0.1729686242960578,-17.076411960132887,4.5007326774126,-16.73060884070059,,C,50.0,-11.83,55.43,0.0,74.45,False,0,0,,回避,当前无优势,74.45,0
688048,长光华芯,自动发现,今日自动发现,301.0,-11.78,350.99,359.99,275.6,341.21,643400.0,11.5,1.5,20260720161434,0.30098352885412943,-16.386566293508153,9.21625544267053,-14.242571013419191,,C,50.0,-11.78,55.62,0.0,74.33,False,0,0,,回避,当前无优势,74.33,0
300475,香农芯创,自动发现,今日自动发现,153.68,-11.73,180.99,183.0,147.09,174.1,753548.0,10.33,0.99,20260720161439,0.18351434140907835,-16.02185792349726,4.480250186960366,-15.08923144925134,,C,50.0,-11.73,55.75,0.0,74.21,False,0,0,,回避,当前无优势,74.21,0
601633,长城汽车,新能源车,核心池,16.36,4.47,15.7,16.44,15.7,15.66,43438.0,0.43,1.48,20260720161437,0.8918918918918897,-0.48661800486619056,4.2038216560509545,4.2038216560509545,新能源车ETF,C,55.65,6.79,65.28,73.73,0.0,False,0,0,,回避,当前无优势,73.73,0
002747,埃斯顿,机器人,核心池,34.37,-10.0,35.46,36.46,34.37,38.19,286929.0,10.52,0.85,20260720161403,0.0,-5.732309380142631,0.0,-3.073886068809939,机器人ETF,C,57.26,-14.19,66.92,0.0,72.11,False,0,0,,回避,当前无优势,72.11,0
300607,拓斯达,机器人,核心池,28.9,-9.86,32.68,32.84,28.08,32.06,125429.0,12.34,1.2,20260720161427,0.1722689075630251,-11.997563946406832,2.9202279202279247,-11.566707466340276,机器人ETF,C,57.26,-14.05,66.2,0.0,71.57,False,0,0,,回避,当前无优势,71.57,0
002050,三花智控,机器人,核心池,36.12,-9.13,39.5,39.88,35.78,39.75,449579.0,3.26,1.69,20260720161421,0.08292682926829176,-9.428284854563707,0.950251537171587,-8.556962025316462,机器人ETF,C,57.26,-13.32,79.31,0.0,71.48,False,0,0,2026-07-18公告：三花智控:北京市中伦律师事务所关于浙江三花智能控制股份有限公司2024年限制性股票激励计划调整回购价格及回购注销部分限制性股票的法律意见书；2026-07-18公告：三花智控:关于2024年限制性股票激励计划调整回购价格的公告；2026-07-18公告：三花智控:关于回购注销部分限制性股票的公告,回避,当前无优势,71.48,0
600989,宝丰能源,自动发现,今日自动发现,23.28,9.3,21.95,23.43,21.94,21.3,395938.0,2.36,1.46,20260720161448,0.8993288590604035,-0.6402048655569703,6.107566089334537,6.059225512528488,,C,50.0,9.3,55.2,71.13,0.0,False,0,0,,回避,当前无优势,71.13,0
688627,精智达,自动发现,今日自动发现,457.51,-10.64,527.0,549.0,436.08,511.98,400872.0,8.66,1.23,20260720161455,0.18978037548707052,-16.664845173041897,4.914235920014676,-13.185958254269448,,C,50.0,-10.64,55.21,0.0,70.85,False,0,0,,回避,当前无优势,70.85,0
600406,国电南瑞,电力设备,核心池,23.56,6.17,22.43,23.57,22.42,22.19,371978.0,2.0,3.15,20260720161448,0.9913043478260856,-0.042426813746299086,5.084745762711851,5.037895675434689,新能源车ETF,C,55.65,8.49,71.14,69.6,0.0,False,0,0,2026-07-20公告：国电南瑞:国电南瑞关于董事长提议回购公司部分股份的提示性公告,回避,当前无优势,69.6,0
601600,中国铝业,自动发现,今日自动发现,9.17,8.65,8.61,9.26,8.53,8.44,449481.0,3.8,1.41,20260720161452,0.8767123287671236,-0.9719222462203025,7.502930832356403,6.50406504065042,,C,50.0,8.65,55.31,69.58,0.0,False,0,0,,回避,当前无优势,69.58,0
688599,天合光能,光伏,核心池,12.86,4.3,12.23,13.0,12.03,12.33,58244.0,2.0,1.51,20260720161456,0.855670103092783,-1.0769230769230864,6.899418121363254,5.151267375306623,光伏ETF,C,49.24,5.81,65.53,69.57,0.0,False,0,0,,回避,当前无优势,69.57,0
688122,西部超导,军工,核心池,51.78,6.76,48.6,51.98,46.66,48.5,81553.0,2.56,1.34,20260720161456,0.9624060150375948,-0.3847633705271192,10.972996142306046,6.543209876543199,军工ETF,C,48.86,7.42,65.82,69.45,0.0,False,0,0,,回避,当前无优势,69.45,0
000963,华东医药,医药,核心池,31.34,4.12,30.0,31.35,29.92,30.1,95451.0,1.77,0.93,20260720161403,0.9930069930069919,-0.03189792663477187,4.745989304812825,4.466666666666663,医疗ETF,A,78.46,1.6,65.96,69.43,0.0,False,0,0,,回避,当前无优势,69.43,0
601601,中国太保,保险,核心池,31.63,6.32,29.79,31.83,29.75,29.75,337175.0,1.58,1.68,20260720161457,0.9038461538461541,-0.6283380458686705,6.319327731092428,6.176569318563274,沪深300ETF,A,71.21,4.99,67.06,69.06,0.0,False,0,0,,回避,当前无优势,69.06,0
001309,德明利,自动发现,今日自动发现,482.89,-10.0,482.89,500.0,482.89,536.54,859692.0,10.76,2.61,20260720161427,0.0,-3.422000000000003,0.0,0.0,,C,50.0,-10.0,55.87,0.0,69.03,False,0,0,,回避,当前无优势,69.03,0
002281,光迅科技,自动发现,今日自动发现,170.51,-10.0,186.0,188.0,170.51,189.45,807225.0,5.87,1.03,20260720161457,0.0,-9.303191489361707,0.0,-8.32795698924732,,C,50.0,-10.0,55.81,0.0,69.03,False,0,0,,回避,当前无优势,69.03,0
000988,华工科技,自动发现,今日自动发现,105.86,-10.0,118.0,119.4,105.86,117.62,733708.0,6.62,1.05,20260720161436,0.0,-11.34003350083752,0.0,-10.288135593220337,,C,50.0,-10.0,55.73,0.0,69.01,False,0,0,,回避,当前无优势,69.01,0
002185,华天科技,自动发现,今日自动发现,16.85,-9.99,18.6,18.71,16.85,18.72,766369.0,13.13,0.65,20260720161442,0.0,-9.941207910208439,0.0,-9.408602150537638,,C,50.0,-9.99,55.77,0.0,68.99,False,0,0,,回避,当前无优势,68.99,0
002008,大族激光,自动发现,今日自动发现,91.72,-10.0,103.96,105.0,91.72,101.91,553248.0,6.02,0.99,20260720161421,0.0,-12.647619047619052,0.0,-11.773759138130046,,C,50.0,-10.0,55.49,0.0,68.97,False,0,0,,回避,当前无优势,68.97,0
600105,永鼎股份,自动发现,今日自动发现,36.07,-10.0,41.0,41.45,36.07,40.08,511987.0,9.21,1.28,20260720161458,0.0,-12.979493365500606,0.0,-12.024390243902438,,C,50.0,-10.0,55.42,0.0,68.96,False,0,0,,回避,当前无优势,68.96,0
002851,麦格米特,自动发现,今日自动发现,122.93,-10.0,133.31,133.6,122.93,136.59,440372.0,7.58,0.88,20260720161454,0.0,-7.986526946107775,0.0,-7.786362613457354,,C,50.0,-10.0,55.29,0.0,68.94,False,0,0,,回避,当前无优势,68.94,0
002407,多氟多,自动发现,今日自动发现,28.12,-9.99,31.66,32.0,28.12,31.24,399628.0,12.58,1.07,20260720161406,0.0,-12.124999999999996,0.0,-11.181301326595072,,C,50.0,-9.99,55.2,0.0,68.9,False,0,0,,回避,当前无优势,68.9,0
600176,中国巨石,自动发现,今日自动发现,39.44,-9.95,45.5,45.8,39.42,43.8,879215.0,5.32,1.04,20260720161454,0.0031347962382438925,-13.886462882096072,0.050735667174017784,-13.318681318681325,,C,50.0,-9.95,55.89,0.0,68.89,False,0,0,,回避,当前无优势,68.89,0
000021,深科技,自动发现,今日自动发现,35.14,-9.92,39.95,40.5,35.11,39.01,597548.0,10.18,0.85,20260720161442,0.005565862708720062,-13.234567901234563,0.08544574195386012,-12.040050062578223,,C,50.0,-9.92,55.55,0.0,68.74,False,0,0,,回避,当前无优势,68.74,0
600809,山西汾酒,白酒消费,核心池,122.43,5.33,117.0,123.17,117.0,116.24,202843.0,1.37,1.37,20260720161436,0.8800648298217189,-0.6007956482909749,4.641025641025642,4.641025641025642,酒ETF,S,88.07,0.73,66.61,68.69,0.0,False,0,0,,回避,当前无优势,68.69,0
601288,农业银行,银行,核心池,6.61,3.44,6.35,6.61,6.33,6.39,414688.0,0.2,1.47,20260720161449,1.0,0.0,4.423380726698256,4.094488188976397,沪深300ETF,A,71.21,2.11,67.24,68.23,0.0,False,0,0,,回避,当前无优势,68.23,0
601088,中国神华,煤炭,核心池,46.14,4.98,43.9,46.14,43.73,43.95,258960.0,0.35,1.39,20260720161431,1.0,0.0,5.511090784358563,5.102505694760828,煤炭ETF,S,96.6,-1.61,66.83,67.91,0.0,False,0,0,,回避,当前无优势,67.91,0
300757,罗博特科,自动发现,今日自动发现,373.1,-9.66,425.0,429.0,360.0,413.0,405437.0,6.42,1.66,20260720161418,0.18985507246376845,-13.030303030303026,3.6388888888889026,-12.211764705882345,,C,50.0,-9.66,55.22,0.0,67.91,False,0,0,,回避,当前无优势,67.91,0
601899,紫金矿业,有色金属,核心池,29.35,3.49,28.36,29.45,28.29,28.36,799203.0,1.34,0.97,20260720161457,0.9137931034482777,-0.3395585738539819,3.7469070342877497,3.4908321579689705,有色金属ETF,B,59.47,4.16,67.81,67.67,0.0,False,0,0,,回避,当前无优势,67.67,0
600887,伊利股份,食品消费,核心池,27.0,3.41,26.02,27.0,26.0,26.11,269616.0,1.6,1.59,20260720161446,1.0,0.0,3.8461538461538547,3.7663335895465,沪深300ETF,A,71.21,2.08,66.86,67.62,0.0,False,0,0,,回避,当前无优势,67.62,0
600900,长江电力,红利电力,核心池,28.98,3.54,27.75,28.98,27.75,27.99,656761.0,0.94,1.32,20260720161500,1.0,0.0,4.432432432432432,4.432432432432432,红利ETF,S,82.31,0.13,67.63,67.09,0.0,False,0,0,,回避,当前无优势,67.09,0
300760,迈瑞医疗,医疗器械,核心池,154.5,3.39,147.61,155.0,146.76,149.43,248464.0,1.35,1.11,20260720161421,0.9393203883495146,-0.3225806451612856,5.2739165985282055,4.6677054400108275,医疗ETF,A,78.46,0.87,66.79,66.92,0.0,False,0,0,,回避,当前无优势,66.92,0
601166,兴业银行,银行,核心池,18.34,3.32,17.69,18.36,17.66,17.75,329488.0,0.86,1.7,20260720161445,0.971428571428572,-0.10893246187363426,3.850509626274068,3.6743923120406974,沪深300ETF,A,71.21,1.99,67.04,66.78,0.0,False,0,0,,回避,当前无优势,66.78,0
