kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location
etf,sh512760,512760,芯片ETF,1.165,0.87,1.138,1.17,1.13,1.155,26125.0,20260811111106,0.8750000000000028
etf,sh512480,512480,半导体ETF,1.091,0.93,1.07,1.096,1.058,1.081,91416.0,20260811111106,0.868421052631576
etf,sh588200,588200,科创芯片ETF,1.222,0.49,1.2,1.228,1.18,1.216,202227.0,20260811111105,0.875
etf,sh515880,515880,通信ETF,0.653,1.4,0.64,0.656,0.63,0.644,179690.0,20260811111106,0.8846153846153846
etf,sh515980,515980,人工智能ETF,1.063,1.24,1.038,1.067,1.034,1.05,13446.0,20260811111106,0.8787878787878783
etf,sh516820,516820,机器人ETF,0.37,1.09,0.364,0.372,0.363,0.366,3301.0,20260811111106,0.7777777777777778
etf,sh512170,512170,医疗ETF,0.354,0.28,0.35,0.357,0.349,0.353,39419.0,20260811111105,0.625
etf,sh512880,512880,证券ETF,1.098,-0.09,1.099,1.104,1.096,1.099,75586.0,20260811111106,0.25
etf,sh512690,512690,酒ETF,0.441,-0.9,0.444,0.447,0.439,0.445,47498.0,20260811111105,0.25
etf,sh515030,515030,新能源车ETF,1.676,-0.24,1.68,1.681,1.665,1.68,8801.0,20260811111105,0.6874999999999931
etf,sh515790,515790,光伏ETF,0.87,0.93,0.858,0.873,0.853,0.862,14947.0,20260811111105,0.85
etf,sh516510,516510,云计算ETF,1.754,1.21,1.733,1.759,1.711,1.733,10924.0,20260811111104,0.8958333333333351
etf,sh515400,515400,大数据ETF,0.905,1.23,0.895,0.907,0.882,0.894,6456.0,20260811111102,0.92
etf,sh512400,512400,有色金属ETF,1.98,-1.88,2.019,2.029,1.968,2.018,104490.0,20260811111105,0.1967213114754102
etf,sh515220,515220,煤炭ETF,1.263,0.08,1.278,1.285,1.246,1.262,55064.0,20260811111107,0.4358974358974343
etf,sh510300,510300,沪深300ETF,4.767,0.17,4.75,4.775,4.74,4.759,94161.0,20260811111105,0.7714285714285721
etf,sh518880,518880,黄金ETF,9.116,1.23,9.13,9.163,9.105,9.005,334380.0,20260811111104,0.18965517241378044
etf,sh510880,510880,红利ETF,3.322,0.09,3.331,3.348,3.302,3.319,36558.0,20260811111104,0.43478260869565427
etf,sh512660,512660,军工ETF,1.16,-1.02,1.156,1.163,1.142,1.172,14021.0,20260811111107,0.8571428571428527
