code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,held,cost,position_pnl,event_note,signal,action,final_score,priority
688498,源杰科技,光通信,核心池,1324.8,-20.0,1690.0,1690.0,1324.8,1656.0,1149676.0,6.43,1.78,20260720142439,0.0,-21.6094674556213,0.0,-21.6094674556213,通信ETF,E,13.87,-16.21,68.12,0.0,91.4,False,0,0,,行业禁买,通信ETF为E级，停止新增,91.4,1
301205,联特科技,光模块/CPO,核心池,174.63,-13.33,211.96,212.82,174.42,201.5,149409.0,9.21,1.37,20260720142436,0.005468750000000206,-17.944742035522975,0.1203990368077168,-17.611813549726374,通信ETF,E,13.87,-9.54,66.35,0.0,71.1,False,0,0,,行业禁买,通信ETF为E级，停止新增,71.1,1
300750,宁德时代,新能源车,核心池,371.26,3.13,354.0,375.6,353.8,360.0,1293532.0,0.82,1.01,20260720142436,0.8009174311926592,-1.155484558040476,4.934991520633125,4.875706214689268,新能源车ETF,D,40.0,7.12,68.22,69.24,0.0,False,0,0,,行业禁买,新能源车ETF为D级，停止新增,69.24,1
300607,拓斯达,机器人,核心池,28.51,-11.07,32.68,32.84,28.28,32.06,110134.0,10.76,1.22,20260720142436,0.05043859649122814,-13.185140073081614,0.8132956152758108,-12.76009791921664,机器人ETF,D,38.39,-12.87,66.08,0.0,68.69,False,0,0,,行业禁买,机器人ETF为D级，停止新增,68.69,1
688183,生益电子,PCB,核心池,99.63,-12.21,116.5,117.49,99.0,113.49,221707.0,2.48,1.04,20260720142439,0.03407247160627343,-15.201293727125709,0.6363636363636349,-14.480686695278976,通信ETF,E,13.87,-8.42,66.69,0.0,67.8,False,0,0,,行业禁买,通信ETF为E级，停止新增,67.8,1
600406,国电南瑞,电力设备,核心池,23.28,4.91,22.43,23.57,22.42,22.19,320170.0,1.73,3.18,20260720142437,0.7478260869565222,-1.2303775986423404,3.8358608385370196,3.789567543468575,新能源车ETF,D,40.0,8.9,71.01,67.69,0.0,False,0,0,2026-07-20公告：国电南瑞:国电南瑞关于董事长提议回购公司部分股份的提示性公告,行业禁买,新能源车ETF为D级，停止新增,67.69,1
300620,光库科技,光通信,核心池,210.75,-11.78,250.0,254.8,209.41,238.9,257687.0,4.55,1.16,20260720142436,0.029521921128001827,-17.28806907378336,0.6398930328064489,-15.700000000000003,通信ETF,E,13.87,-7.99,66.82,0.0,66.53,False,0,0,,行业禁买,通信ETF为E级，停止新增,66.53,1
002050,三花智控,机器人,核心池,35.94,-9.58,39.5,39.88,35.9,39.75,388388.0,2.79,1.7,20260720142439,0.010050251256281183,-9.879638916750267,0.11142061281337323,-9.012658227848103,机器人ETF,D,38.39,-11.38,79.18,0.0,66.32,False,0,0,2026-07-18公告：三花智控:北京市中伦律师事务所关于浙江三花智能控制股份有限公司2024年限制性股票激励计划调整回购价格及回购注销部分限制性股票的法律意见书；2026-07-18公告：三花智控:关于2024年限制性股票激励计划调整回购价格的公告；2026-07-18公告：三花智控:关于回购注销部分限制性股票的公告,行业禁买,机器人ETF为D级，停止新增,66.32,1
002747,埃斯顿,机器人,核心池,34.37,-10.0,35.46,36.46,34.37,38.19,284245.0,10.42,0.99,20260720142436,0.0,-5.732309380142631,0.0,-3.073886068809939,机器人ETF,D,38.39,-11.8,66.91,0.0,65.62,False,0,0,,行业禁买,机器人ETF为D级，停止新增,65.62,1
688017,绿的谐波,机器人,核心池,294.11,-9.81,331.1,335.89,294.0,326.1,395944.0,6.89,1.19,20260720142438,0.002625925041776407,-12.438595968918387,0.037414965986393156,-11.17185140440955,机器人ETF,D,38.39,-11.61,67.2,0.0,65.09,False,0,0,,行业禁买,机器人ETF为D级，停止新增,65.09,1
688409,富创精密,半导体设备,核心池,172.09,-11.29,207.46,207.46,171.5,193.99,197382.0,3.43,1.27,20260720142438,0.016407119021134686,-17.04906970018317,0.3440233236151613,-17.04906970018317,半导体ETF,E,9.68,-6.71,66.59,0.0,64.27,False,0,0,,行业禁买,半导体ETF为E级，停止新增,64.27,1
002896,中大力德,机器人,核心池,61.2,-9.04,67.28,68.0,61.0,67.28,59784.0,4.73,1.3,20260720142436,0.028571428571428976,-9.999999999999998,0.3278688524590123,-9.036860879904873,机器人ETF,D,38.39,-10.84,61.55,0.0,61.88,False,0,0,2026-07-16公告：中大力德:关于控股股东及其一致行动人股份减持计划提前结束暨减持结果的公告,行业禁买,机器人ETF为D级，停止新增,61.88,1
002384,东山精密,PCB/消费电子,核心池,217.73,-10.0,241.91,246.0,217.73,241.92,2300952.0,7.33,1.07,20260720142436,0.0,-11.491869918699194,0.0,-9.995452854367326,通信ETF,E,13.87,-6.21,68.72,0.0,61.49,False,0,0,,行业禁买,通信ETF为E级，停止新增,61.49,1
002463,沪电股份,PCB,核心池,115.02,-10.0,130.35,131.48,115.02,127.8,981404.0,4.26,1.18,20260720142436,0.0,-12.519014298752662,0.0,-11.760644418872268,通信ETF,E,13.87,-6.21,67.98,0.0,61.37,False,0,0,,行业禁买,通信ETF为E级，停止新增,61.37,1
