kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location
etf,sh512760,512760,芯片ETF,1.095,3.3,1.078,1.111,1.075,1.06,39997.0,20260918135410,0.5555555555555556
etf,sh512480,512480,半导体ETF,1.036,3.5,1.017,1.052,1.015,1.001,134985.0,20260918135407,0.5675675675675689
etf,sh588200,588200,科创芯片ETF,1.18,3.42,1.162,1.2,1.16,1.141,270811.0,20260918135408,0.5
etf,sh515880,515880,通信ETF,0.702,2.33,0.699,0.714,0.689,0.686,364078.0,20260918135409,0.52
etf,sh515980,515980,人工智能ETF,1.02,2.0,1.011,1.032,1.007,1.0,16737.0,20260918135407,0.5200000000000021
etf,sh516820,516820,机器人ETF,0.342,0.29,0.341,0.345,0.34,0.341,2414.0,20260918135406,0.40000000000000446
etf,sh512170,512170,医疗ETF,0.338,0.3,0.338,0.344,0.337,0.337,44941.0,20260918135409,0.142857142857144
etf,sh512880,512880,证券ETF,1.055,1.25,1.047,1.059,1.047,1.042,118548.0,20260918135407,0.6666666666666666
etf,sh512690,512690,酒ETF,0.411,0.74,0.407,0.412,0.407,0.408,15991.0,20260918135408,0.8
etf,sh515030,515030,新能源车ETF,1.497,0.94,1.498,1.509,1.485,1.483,11136.0,20260918135409,0.5000000000000047
etf,sh515790,515790,光伏ETF,0.809,2.02,0.8,0.812,0.798,0.793,7930.0,20260918135408,0.7857142857142857
etf,sh516510,516510,云计算ETF,1.634,1.93,1.62,1.648,1.617,1.603,9927.0,20260918135409,0.548387096774192
etf,sh515400,515400,大数据ETF,0.837,1.95,0.828,0.842,0.828,0.821,5689.0,20260918135408,0.6428571428571429
etf,sh512400,512400,有色金属ETF,1.727,1.11,1.734,1.739,1.71,1.708,45278.0,20260918135409,0.5862068965517258
etf,sh515220,515220,煤炭ETF,1.249,-0.72,1.246,1.261,1.242,1.258,39750.0,20260918135408,0.3684210526315869
etf,sh510300,510300,沪深300ETF,4.573,0.9,4.556,4.596,4.548,4.532,241308.0,20260918135410,0.5208333333333403
etf,sh518880,518880,黄金ETF,8.974,1.33,8.95,8.986,8.896,8.856,388055.0,20260918135409,0.8666666666666614
etf,sh510880,510880,红利ETF,3.339,-0.24,3.333,3.361,3.326,3.347,31738.0,20260918135408,0.37142857142856706
etf,sh512660,512660,军工ETF,1.154,1.05,1.147,1.163,1.145,1.142,21518.0,20260918135409,0.49999999999999384
