code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,event_risk_value,event_hard_veto,event_unknown,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
300033,同花顺,自动发现,今日自动发现,236.84,4.85,221.82,241.0,221.72,225.88,390181.0,3.81,2.45,20260731120545,0.7842323651452284,-1.7261410788381726,6.819411870828063,6.771255973311696,,C,50.0,4.85,47.18,91.5,0.0,8.0,事件风险+8,False,0.0,0,近期业绩公告：同花顺:2026年半年度业绩预告,8.0,False,False,回避,当前无优势,91.5,0,未知,94.5,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
002517,恺英网络,自动发现,今日自动发现,17.39,5.39,16.2,17.55,16.2,16.5,152588.0,4.75,2.17,20260731120500,0.8814814814814815,-0.9116809116809121,7.345679012345685,7.345679012345685,,C,50.0,5.39,54.37,96.92,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,96.92,0,未知,89.92,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,接近追高区；人工设置禁止追高,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
002602,世纪华通,自动发现,今日自动发现,13.67,3.64,13.01,13.9,13.0,13.19,168318.0,1.85,1.77,20260731120527,0.744444444444444,-1.6546762589928043,5.153846153846153,5.0730207532667215,,C,50.0,3.64,54.45,86.57,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,86.57,0,未知,89.57,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
300803,指南针,自动发现,今日自动发现,83.79,5.0,79.11,85.2,78.92,79.8,184453.0,3.67,2.22,20260731120515,0.77547770700637,-1.654929577464781,6.17080587937151,5.9158134243458615,,C,50.0,5.0,54.53,92.05,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,92.05,0,未知,85.05,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,接近追高区；人工设置禁止追高,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600664,哈药股份,自动发现,今日自动发现,5.71,2.7,5.22,5.85,5.22,5.56,156878.0,11.14,1.18,20260731120550,0.7777777777777782,-2.3931623931623847,9.386973180076641,9.386973180076641,,C,50.0,2.7,22.39,80.42,0.0,32.0,事件风险+32,False,0.0,0,风险公告：哈药股份:哈药集团股份有限公司股票交易严重异常波动暨风险提示公告,32.0,False,False,回避,当前无优势,80.42,0,未知,83.42,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
603893,瑞芯微,自动发现,今日自动发现,192.29,5.22,188.06,193.86,177.77,182.75,472209.0,6.06,2.02,20260731120540,0.9024238657551261,-0.8098627875786746,8.167857343758778,2.2492821439966004,,C,50.0,5.22,55.35,89.98,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,89.98,0,未知,82.98,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；市场总体风险较低,接近追高区；人工设置禁止追高,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
600418,江淮汽车,自动发现,今日自动发现,25.67,5.25,23.51,26.3,23.33,24.39,357939.0,6.54,3.67,20260731120551,0.7878787878787884,-2.395437262357414,10.030004286326633,9.187579753296472,,C,50.0,5.25,55.11,89.3,0.0,10.0,量比偏高,False,0.0,0,,0.0,False,False,回避,当前无优势,89.3,0,未知,82.3,A,明显强于行业；价格接近日内强势区；开盘后仍有承接；市场总体风险较低,接近追高区；人工设置禁止追高,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
300759,康龙化成,自动发现,今日自动发现,36.86,2.36,35.02,37.76,34.83,36.01,123368.0,2.36,1.0,20260731120542,0.6928327645051199,-2.383474576271183,5.828308929084125,5.254140491147896,,C,50.0,2.36,54.18,78.65,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,78.65,0,未知,81.65,A,明显强于行业；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
002195,岩山科技,自动发现,今日自动发现,6.86,3.94,6.63,7.05,6.63,6.6,159737.0,4.15,1.52,20260731120515,0.5476190476190488,-2.6950354609929006,3.469079939668185,3.469079939668185,,C,50.0,3.94,54.41,78.06,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,78.06,0,未知,81.06,A,明显强于行业；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
601991,大唐发电,自动发现,今日自动发现,5.93,1.89,5.76,6.02,5.72,5.82,136098.0,1.85,0.88,20260731120531,0.7000000000000003,-1.4950166112956742,3.6713286713286664,2.951388888888884,,C,50.0,1.89,54.27,78.0,0.0,0.0,,False,0.0,0,,0.0,False,False,回避,当前无优势,78.0,0,未知,81.0,A,明显强于行业；量能较健康；开盘后仍有承接；当日未明显追高；市场总体风险较低,无明显额外扣分,0.0,一级候选：消息面已确认无硬雷；尾盘不急拉时仅1手,5
