code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,event_risk_value,event_hard_veto,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
600276,恒瑞医药,创新药,核心池,54.95,-0.79,55.39,55.75,53.9,55.39,403051.0,1.15,0.8,20260723142622,0.5675675675675694,-1.4349775784753271,1.9480519480519654,-0.794367214298608,医疗ETF,D,30.9,0.13,67.21,54.75,0.0,20.0,所属ETF为D级,False,0.0,0,,0.0,False,行业禁买,医疗ETF为D级，停止新增,54.75,1.0,退潮,35.0,D,量能较健康；当日未明显追高；基础质量得分较好,所属行业偏弱；板块处于退潮阶段,0.0,禁止追入/暂时回避,1
688256,寒武纪,国产AI芯片,核心池,1235.28,-5.7,1336.0,1336.0,1235.0,1310.0,1230522.0,1.54,0.74,20260723142622,0.002772277227722502,-7.538922155688621,0.022672064777329304,-7.538922155688621,科创芯片ETF,E,11.7,-1.18,68.18,17.34,54.29,65.0,当日大跌，进入风险观察；所属ETF为E级,False,0.0,0,,0.0,False,爆雷禁买,爆雷指数超过阈值，禁止追入,54.29,0.0,退潮,35.0,D,当日未明显追高；基础质量得分较好,爆雷指数偏高；弱于行业；所属行业偏弱；板块处于退潮阶段,0.0,禁止追入/暂时回避,1
601088,中国神华,煤炭,核心池,45.42,-0.04,45.4,45.7,44.67,45.44,126025.0,0.17,0.66,20260723142624,0.7281553398058245,-0.6126914660831484,1.6789791806581578,0.044052863436139233,煤炭ETF,D,44.92,-1.18,56.2,53.07,0.0,30.0,事件风险+10；所属ETF为D级,False,0.0,0,近期有业绩公告，需关注单季度环比：中国神华:中国神华2026年上半年业绩预告,10.0,False,行业禁买,煤炭ETF为D级，停止新增,53.07,1.0,震荡,35.0,D,价格接近日内强势区；开盘后仍有承接；当日未明显追高,弱于行业；所属行业偏弱,0.0,禁止追入/暂时回避,1
688012,中微公司,半导体设备,核心池,372.5,-5.21,398.97,399.0,367.0,392.99,912959.0,2.56,0.75,20260723142622,0.171875,-6.641604010025059,1.4986376021798309,-6.634584053938896,半导体ETF,E,11.81,-0.61,67.92,27.7,52.8,65.0,当日大跌，进入风险观察；所属ETF为E级,False,0.0,0,,0.0,False,爆雷禁买,爆雷指数超过阈值，禁止追入,52.8,0.0,退潮,35.0,D,当日未明显追高；基础质量得分较好,爆雷指数偏高；所属行业偏弱；板块处于退潮阶段,0.0,禁止追入/暂时回避,1
603629,利通电子,自动发现,今日自动发现,119.54,1.01,125.34,130.17,119.33,118.34,744037.0,16.38,2.12,20260723142623,0.019372693726938024,-8.16624414227547,0.17598256934552303,-4.627413435455563,,C,50.0,1.01,20.74,35.83,0.0,63.0,事件风险+35；换手率偏高；开盘后显著走弱；距日内高点较远,False,0.0,0,风险公告：利通电子:利通电子控股股东、实际控制人关于公司股票交易异常波动问询函的回复；近期有业绩公告，需关注单季度环比：利通电子:利通电子2026年半年度业绩预增公告,35.0,False,爆雷禁买,爆雷指数超过阈值，禁止追入,35.83,0.0,未知,35.0,D,量能较健康；当日未明显追高,爆雷指数偏高；冲高回落,0.0,禁止追入/暂时回避,1
300319,麦捷科技,自动发现,今日自动发现,15.23,-2.56,15.76,16.62,15.19,15.63,126155.0,9.36,0.94,20260723142624,0.02797202797202859,-8.363417569193743,0.26333113890717463,-3.362944162436543,,C,50.0,-2.56,54.2,34.56,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,34.56,0.0,未知,34.56,D,量能较健康；当日未明显追高,弱于行业,0.0,禁止追入/暂时回避,1
300458,全志科技,自动发现,今日自动发现,40.0,-4.1,41.52,41.85,39.3,41.71,390070.0,11.86,0.98,20260723142624,0.27450980392156926,-4.420549581839905,1.781170483460559,-3.6608863198458685,,C,50.0,-4.1,55.18,34.41,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,34.41,0.0,未知,34.41,D,量能较健康；当日未明显追高,弱于行业,0.0,禁止追入/暂时回避,1
688549,中巨芯-U,自动发现,今日自动发现,22.56,-2.0,23.5,24.24,22.26,23.02,133365.0,9.78,0.62,20260723142624,0.15151515151515033,-6.930693069306926,1.3477088948786964,-4.0000000000000036,,C,50.0,-2.0,54.25,32.8,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,32.8,0.0,未知,32.8,D,当日未明显追高,弱于行业,0.0,禁止追入/暂时回避,1
300209,行云科技,自动发现,今日自动发现,27.85,-2.96,29.61,31.88,27.74,28.7,355808.0,16.22,1.32,20260723142624,0.026570048309179462,-12.641154328732739,0.3965392934390799,-5.943937858831472,,C,50.0,-2.96,55.1,30.05,0.0,10.0,换手率偏高,False,0.0,0,,0.0,False,回避,当前无优势,30.05,0.0,未知,30.05,D,量能较健康；当日未明显追高,弱于行业,0.0,禁止追入/暂时回避,1
000977,浪潮信息,自动发现,今日自动发现,87.52,-3.26,93.0,96.37,87.48,90.47,1341014.0,9.96,1.0,20260723142624,0.0044994375703028165,-9.18335581612536,0.04572473708275293,-5.8924731182795735,,C,50.0,-3.26,56.25,29.14,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,29.14,0.0,未知,29.14,D,量能较健康；当日未明显追高,弱于行业,0.0,禁止追入/暂时回避,1
300308,中际旭创,光模块/CPO,核心池,1061.12,0.03,1089.54,1115.0,1060.01,1060.8,2660372.0,2.21,0.65,20260723142621,0.02018548827059283,-4.8322869955157,0.1047159932453301,-2.6084402591919575,通信ETF,D,35.22,0.63,68.85,37.58,0.0,38.0,开盘后显著走弱；距日内高点较远；所属ETF为D级,False,0.0,0,,0.0,False,行业禁买,通信ETF为D级，停止新增,37.58,1.0,退潮,23.58,D,当日未明显追高；基础质量得分较好,冲高回落；所属行业偏弱；板块处于退潮阶段,0.0,禁止追入/暂时回避,1
002371,北方华创,半导体设备,核心池,735.49,-3.73,764.77,769.0,723.0,764.0,916835.0,1.7,0.84,20260723142624,0.271521739130435,-4.3576072821846505,1.7275242047026351,-3.8286020633654494,半导体ETF,E,11.81,0.87,67.92,37.4,0.0,35.0,所属ETF为E级,False,0.0,0,,0.0,False,行业禁买,半导体ETF为E级，停止新增,37.4,1.0,退潮,23.4,D,量能较健康；当日未明显追高；基础质量得分较好,所属行业偏弱；板块处于退潮阶段,0.0,禁止追入/暂时回避,1
002916,深南电路,PCB,核心池,334.27,-1.1,344.06,351.5,334.0,337.98,278011.0,1.22,0.66,20260723142624,0.01542857142857039,-4.9018492176386985,0.08083832335328278,-2.8454339359414105,通信ETF,D,35.22,-0.5,56.89,31.66,0.0,30.0,事件风险+10；所属ETF为D级,False,0.0,0,近期有业绩公告，需关注单季度环比：深南电路:2026年半年度业绩预告,10.0,False,行业禁买,通信ETF为D级，停止新增,31.66,1.0,退潮,17.66,D,当日未明显追高,所属行业偏弱；板块处于退潮阶段,0.0,禁止追入/暂时回避,1
300502,新易盛,光模块/CPO,核心池,495.2,-2.67,517.72,523.83,493.36,508.8,2030840.0,3.19,0.72,20260723142621,0.06038726616343858,-5.465513620831198,0.3729528133614268,-4.349841613227234,通信ETF,D,35.22,-2.07,58.62,26.38,0.0,30.0,事件风险+10；所属ETF为D级,False,0.0,0,近期有业绩公告，需关注单季度环比：新易盛:2026年半年度业绩预告,10.0,False,行业禁买,通信ETF为D级，停止新增,26.38,1.0,退潮,12.38,D,当日未明显追高,弱于行业；所属行业偏弱；板块处于退潮阶段,0.0,禁止追入/暂时回避,1
300394,天孚通信,光模块/CPO,核心池,210.76,-3.16,222.01,224.0,210.53,217.63,554016.0,2.35,0.6,20260723142621,0.01707498144023681,-5.910714285714292,0.10924808815844234,-5.067339309040131,通信ETF,D,35.22,-2.56,32.49,18.05,0.0,55.0,事件风险+35；所属ETF为D级,False,0.0,0,业绩公告后显著下跌，存在预期差：天孚通信:2026年半年度业绩预告,35.0,False,行业禁买,通信ETF为D级，停止新增,18.05,1.0,退潮,4.05,D,当日未明显追高,爆雷指数偏高；弱于行业；所属行业偏弱；板块处于退潮阶段,0.0,禁止追入/暂时回避,1
