kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location
etf,sh512760,512760,芯片ETF,1.073,-1.65,1.074,1.085,1.064,1.091,23140.0,20260902153550,0.42857142857142555
etf,sh512480,512480,半导体ETF,1.01,-1.94,1.01,1.023,1.004,1.03,110584.0,20260902153545,0.3157894736842124
etf,sh588200,588200,科创芯片ETF,1.14,-1.72,1.141,1.154,1.129,1.16,219208.0,20260902153604,0.4399999999999975
etf,sh515880,515880,通信ETF,0.648,-2.11,0.65,0.657,0.639,0.662,240698.0,20260902153603,0.5
etf,sh515980,515980,人工智能ETF,1.02,-1.73,1.023,1.03,1.009,1.038,17774.0,20260902153542,0.5238095238095263
etf,sh516820,516820,机器人ETF,0.348,-0.57,0.349,0.351,0.346,0.35,2746.0,20260902153606,0.4
etf,sh512170,512170,医疗ETF,0.338,-0.88,0.34,0.341,0.335,0.341,31071.0,20260902153541,0.5
etf,sh512880,512880,证券ETF,1.09,-2.07,1.108,1.109,1.089,1.113,182888.0,20260902153542,0.050000000000005554
etf,sh512690,512690,酒ETF,0.423,-1.4,0.427,0.429,0.422,0.429,36610.0,20260902153600,0.14285714285714285
etf,sh515030,515030,新能源车ETF,1.557,-2.38,1.584,1.584,1.551,1.595,9864.0,20260902153549,0.1818181818181812
etf,sh515790,515790,光伏ETF,0.811,-1.82,0.821,0.822,0.808,0.826,10126.0,20260902153600,0.214285714285716
etf,sh516510,516510,云计算ETF,1.685,-1.86,1.686,1.703,1.678,1.717,9119.0,20260902153547,0.2800000000000032
etf,sh515400,515400,大数据ETF,0.872,-1.58,0.871,0.881,0.868,0.886,8231.0,20260902153552,0.3076923076923077
etf,sh512400,512400,有色金属ETF,1.886,-2.53,1.889,1.902,1.847,1.935,123965.0,20260902153541,0.7090909090909085
etf,sh515220,515220,煤炭ETF,1.303,-2.91,1.365,1.373,1.298,1.342,163401.0,20260902153554,0.06666666666666529
etf,sh510300,510300,沪深300ETF,4.62,-1.37,4.65,4.654,4.601,4.684,294149.0,20260902153559,0.3584905660377387
etf,sh518880,518880,黄金ETF,8.902,-2.37,8.9,8.922,8.833,9.118,754498.0,20260902153608,0.7752808988763904
etf,sh510880,510880,红利ETF,3.428,-1.55,3.501,3.507,3.427,3.482,75481.0,20260902153548,0.012499999999998613
etf,sh512660,512660,军工ETF,1.142,0.09,1.14,1.155,1.129,1.141,57959.0,20260902153558,0.4999999999999957
