kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location
etf,sh512760,512760,芯片ETF,1.066,-0.65,1.084,1.086,1.056,1.073,22925.0,20260903161441,0.3333333333333333
etf,sh512480,512480,半导体ETF,1.004,-0.59,1.021,1.023,0.993,1.01,99267.0,20260903161448,0.36666666666666803
etf,sh588200,588200,科创芯片ETF,1.135,-0.44,1.153,1.154,1.122,1.14,254981.0,20260903161432,0.40624999999999933
etf,sh515880,515880,通信ETF,0.646,-0.31,0.655,0.659,0.64,0.648,194325.0,20260903161443,0.3157894736842105
etf,sh515980,515980,人工智能ETF,1.018,-0.2,1.029,1.034,1.006,1.02,19893.0,20260903161445,0.42857142857142855
etf,sh516820,516820,机器人ETF,0.35,0.57,0.348,0.351,0.347,0.348,2107.0,20260903161446,0.75
etf,sh512170,512170,医疗ETF,0.339,0.3,0.338,0.34,0.336,0.338,31516.0,20260903161451,0.75
etf,sh512880,512880,证券ETF,1.098,0.73,1.092,1.111,1.09,1.09,196071.0,20260903161432,0.380952380952383
etf,sh512690,512690,酒ETF,0.421,-0.47,0.423,0.426,0.42,0.423,24371.0,20260903161432,0.16666666666666666
etf,sh515030,515030,新能源车ETF,1.574,1.09,1.562,1.58,1.562,1.557,10453.0,20260903161440,0.6666666666666666
etf,sh515790,515790,光伏ETF,0.81,-0.12,0.817,0.819,0.804,0.811,8874.0,20260903161432,0.40000000000000296
etf,sh516510,516510,云计算ETF,1.682,-0.18,1.698,1.709,1.668,1.685,12463.0,20260903161450,0.3414634146341454
etf,sh515400,515400,大数据ETF,0.87,-0.23,0.878,0.885,0.863,0.872,7250.0,20260903161432,0.3181818181818182
etf,sh512400,512400,有色金属ETF,1.913,1.43,1.908,1.927,1.902,1.886,74290.0,20260903161431,0.4400000000000025
etf,sh515220,515220,煤炭ETF,1.3,-0.23,1.296,1.331,1.295,1.303,82332.0,20260903161445,0.13888888888889198
etf,sh510300,510300,沪深300ETF,4.621,0.02,4.631,4.65,4.605,4.62,230598.0,20260903161432,0.35555555555555646
etf,sh518880,518880,黄金ETF,9.105,2.28,9.045,9.135,9.045,8.902,592326.0,20260903161440,0.6666666666666733
etf,sh510880,510880,红利ETF,3.436,0.23,3.426,3.483,3.426,3.428,48647.0,20260903161447,0.1754385964912245
etf,sh512660,512660,军工ETF,1.14,-0.18,1.14,1.146,1.133,1.142,25647.0,20260903161431,0.5384615384615346
