kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location
etf,sh512760,512760,芯片ETF,1.097,-0.27,1.111,1.119,1.093,1.1,23690.0,20260921141906,0.15384615384615385
etf,sh512480,512480,半导体ETF,1.039,-0.19,1.052,1.057,1.035,1.041,83890.0,20260921141906,0.18181818181818182
etf,sh588200,588200,科创芯片ETF,1.18,-0.34,1.195,1.203,1.174,1.184,180515.0,20260921141904,0.20689655172413715
etf,sh515880,515880,通信ETF,0.707,0.43,0.711,0.722,0.706,0.704,242633.0,20260921141904,0.0625
etf,sh515980,515980,人工智能ETF,1.026,0.29,1.033,1.038,1.024,1.023,28214.0,20260921141906,0.14285714285714285
etf,sh516820,516820,机器人ETF,0.35,2.34,0.343,0.351,0.343,0.342,3841.0,20260921141901,0.8749999999999991
etf,sh512170,512170,医疗ETF,0.347,2.06,0.341,0.349,0.34,0.34,49647.0,20260921141906,0.7777777777777765
etf,sh512880,512880,证券ETF,1.062,0.47,1.059,1.062,1.056,1.057,99779.0,20260921141904,1.0
etf,sh512690,512690,酒ETF,0.416,1.22,0.411,0.417,0.409,0.411,31591.0,20260921141905,0.875
etf,sh515030,515030,新能源车ETF,1.501,-0.13,1.501,1.513,1.497,1.503,9518.0,20260921141906,0.2499999999999896
etf,sh515790,515790,光伏ETF,0.819,0.49,0.815,0.823,0.814,0.815,11058.0,20260921141904,0.5555555555555556
etf,sh516510,516510,云计算ETF,1.642,0.18,1.64,1.655,1.639,1.639,5280.0,20260921141904,0.18749999999999306
etf,sh515400,515400,大数据ETF,0.84,0.0,0.84,0.846,0.838,0.84,4843.0,20260921141903,0.25
etf,sh512400,512400,有色金属ETF,1.723,-0.52,1.732,1.745,1.718,1.732,35744.0,20260921141906,0.18518518518518853
etf,sh515220,515220,煤炭ETF,1.28,2.48,1.247,1.281,1.236,1.249,57320.0,20260921141906,0.9777777777777802
etf,sh510300,510300,沪深300ETF,4.597,0.33,4.586,4.615,4.581,4.582,192587.0,20260921141905,0.4705882352941207
etf,sh518880,518880,黄金ETF,8.928,-0.9,8.979,8.993,8.925,9.009,308499.0,20260921141905,0.04411764705882545
etf,sh510880,510880,红利ETF,3.381,1.26,3.33,3.384,3.319,3.339,39823.0,20260921141905,0.953846153846152
etf,sh512660,512660,军工ETF,1.173,1.12,1.16,1.18,1.158,1.16,21558.0,20260921141904,0.6818181818181869
