code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
601318,中国平安,保险,核心池,53.75,1.63,52.44,53.98,52.01,52.89,422991.0,0.75,0.89,20260722134302,0.8832487309644685,-0.4260837347165536,3.345510478754088,2.4980930587337857,沪深300ETF,B,63.19,1.73,67.25,60.22,0.0,0.0,,False,0.0,0,,回避,当前无优势,60.22,0,分歧,48.22,C,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,市场风险较高,0.0,回踩候选：当前不买，进入观察池,3
600536,中国软件,软件,核心池,34.91,3.81,32.92,35.29,32.35,33.63,141045.0,4.97,1.35,20260722134302,0.870748299319727,-1.0767922924341256,7.913446676970626,6.044957472660983,云计算ETF,A,73.71,2.22,66.3,69.63,0.0,0.0,,True,0.0,0,,持仓保留,继续观察；持续弱于ETF时再降仓,69.63,6,发酵,61.63,持仓,所属ETF强；明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,市场风险较高,0.0,继续观察；持续弱于ETF时再降仓,2
600036,招商银行,银行,核心池,38.45,1.21,37.85,38.53,37.63,37.99,276256.0,0.35,0.87,20260722134301,0.9111111111111129,-0.20763041785620828,2.179112410310924,1.5852047556142779,沪深300ETF,B,63.19,1.31,66.88,58.21,0.0,0.0,,False,0.0,0,,回避,当前无优势,58.21,0,分歧,46.21,D,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,市场风险较高,0.0,禁止追入/暂时回避,1
601138,工业富联,AI服务器,核心池,61.54,0.92,60.26,62.98,59.88,60.98,762687.0,0.62,1.33,20260722134300,0.5354838709677419,-2.2864401397268974,2.7722110888443563,2.1241287753070104,人工智能ETF,B,63.87,0.83,67.76,47.79,0.0,0.0,,False,0.0,0,,回避,当前无优势,47.79,0,启动,37.79,D,量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好；板块处于启动阶段,市场风险较高,0.0,禁止追入/暂时回避,1
601899,紫金矿业,有色金属,核心池,32.23,6.69,30.81,32.79,30.81,30.21,1406937.0,2.13,2.23,20260722134302,0.7171717171717161,-1.707837755413244,4.608893216488141,4.608893216488141,有色金属ETF,S,82.75,3.18,68.3,62.81,0.0,18.0,超过追高阈值,False,0.0,0,,回避,当前无优势,62.81,0,高潮,34.81,D,所属ETF强；明显强于行业；量能较健康；开盘后仍有承接；基础质量得分较好,接近追高区；板块可能处于高潮；市场风险较高；人工设置禁止追高,0.0,禁止追入/暂时回避,1
600276,恒瑞医药,创新药,核心池,55.14,0.38,54.35,56.49,54.27,54.93,402863.0,1.14,0.83,20260722134301,0.39189189189189094,-2.3898035050451405,1.603095632946383,1.4535418583256687,医疗ETF,B,61.99,0.38,67.21,42.36,0.0,0.0,,False,0.0,0,,回避,当前无优势,42.36,0,分歧,30.36,D,量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,市场风险较高,0.0,禁止追入/暂时回避,1
601088,中国神华,煤炭,核心池,44.93,-0.38,44.68,45.19,44.05,45.1,158695.0,0.22,1.15,20260722134302,0.7719298245614054,-0.5753485284354931,1.997729852440422,0.5595344673231972,煤炭ETF,D,44.35,-1.56,66.4,39.94,0.0,20.0,所属ETF为D级,False,0.0,0,,行业禁买,煤炭ETF为D级，停止新增,39.94,1,震荡,27.94,D,价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高；基础质量得分较好,弱于行业；所属行业偏弱；市场风险较高,0.0,禁止追入/暂时回避,1
300502,新易盛,光模块/CPO,核心池,523.05,-5.21,540.0,551.6,522.75,551.77,2331513.0,3.46,1.04,20260722134300,0.010398613518195989,-5.175852066715025,0.05738880918220168,-3.138888888888902,通信ETF,E,19.13,-2.78,68.74,6.37,51.36,35.0,所属ETF为E级,False,0.0,0,,行业禁买,通信ETF为E级，停止新增,51.36,1,退潮,25.36,D,量能较健康；当日未明显追高；基础质量得分较好,弱于行业；所属行业偏弱；板块处于退潮阶段；市场风险较高,0.0,禁止追入/暂时回避,1
002371,北方华创,半导体设备,核心池,765.66,2.83,788.0,809.0,763.86,744.6,1480492.0,2.59,1.84,20260722134300,0.039875941515284785,-5.357231149567376,0.23564527531223511,-2.835025380710665,半导体ETF,D,43.77,1.61,68.34,27.72,0.0,53.0,冲高回落明显；开盘后显著走弱；距日内高点较远；所属ETF为D级,False,0.0,0,,行业禁买,半导体ETF为D级，停止新增,27.72,1,震荡,15.72,D,明显强于行业；量能较健康；当日未明显追高；基础质量得分较好,爆雷指数偏高；冲高回落；所属行业偏弱；市场风险较高,0.0,禁止追入/暂时回避,1
688981,中芯国际,晶圆制造,核心池,155.91,-2.56,156.0,160.4,154.44,160.0,999194.0,3.18,0.97,20260722134301,0.2466442953020129,-2.799251870324193,0.9518259518259464,-0.05769230769231415,半导体ETF,D,43.77,-3.78,68.0,20.22,0.0,20.0,所属ETF为D级,False,0.0,0,,行业禁买,半导体ETF为D级，停止新增,20.22,1,震荡,8.22,D,量能较健康；当日未明显追高；基础质量得分较好,弱于行业；所属行业偏弱；市场风险较高,0.0,禁止追入/暂时回避,1
