code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,signal,action,final_score,priority
601628,中国人寿,自动发现,今日自动发现,40.6,3.97,38.52,40.66,38.36,39.05,202997.0,0.24,0.89,20260720161447,0.9739130434782629,-0.14756517461878005,5.839416058394176,5.399792315680152,,C,50.0,3.97,54.61,84.98,0.0,0.0,,False,0.0,0,,回避,当前无优势,84.98,0
600602,云赛智联,自动发现,今日自动发现,19.27,4.56,18.25,19.5,18.1,18.43,177792.0,8.73,1.68,20260720161452,0.8357142857142852,-1.179487179487182,6.4640883977900465,5.589041095890401,,C,50.0,4.56,54.5,84.43,0.0,0.0,,False,0.0,0,,回避,当前无优势,84.43,0
600028,中国石化,自动发现,今日自动发现,5.24,4.17,5.05,5.24,5.04,5.03,277003.0,0.57,1.64,20260720161454,1.0,0.0,3.9682539682539764,3.7623762376237657,,C,50.0,4.17,54.88,83.78,0.0,0.0,,False,0.0,0,,回避,当前无优势,83.78,0
000776,广发证券,自动发现,今日自动发现,22.72,5.19,21.92,22.93,21.8,21.6,278297.0,2.09,1.35,20260720161409,0.8141592920353973,-0.9158307893589179,4.220183486238516,3.649635036496335,,C,50.0,5.19,54.89,83.19,0.0,0.0,,False,0.0,0,,回避,当前无优势,83.19,0
600900,长江电力,自动发现,今日自动发现,28.98,3.54,27.75,28.98,27.75,27.99,656761.0,0.94,1.32,20260720161500,1.0,0.0,4.432432432432432,4.432432432432432,,C,50.0,3.54,55.63,83.11,0.0,0.0,,False,0.0,0,,回避,当前无优势,83.11,0
300759,康龙化成,自动发现,今日自动发现,37.28,5.07,34.98,38.1,34.5,35.48,444298.0,8.51,0.94,20260720161415,0.7722222222222223,-2.1522309711286103,8.057971014492749,6.575185820468854,,C,50.0,5.07,55.3,82.56,0.0,0.0,,False,0.0,0,,回避,当前无优势,82.56,0
601288,农业银行,自动发现,今日自动发现,6.61,3.44,6.35,6.61,6.33,6.39,414688.0,0.2,1.47,20260720161449,1.0,0.0,4.423380726698256,4.094488188976397,,C,50.0,3.44,55.24,82.29,0.0,0.0,,False,0.0,0,,回避,当前无优势,82.29,0
300760,迈瑞医疗,自动发现,今日自动发现,154.5,3.39,147.61,155.0,146.76,149.43,248464.0,1.35,1.11,20260720161421,0.9393203883495146,-0.3225806451612856,5.2739165985282055,4.6677054400108275,,C,50.0,3.39,54.79,81.8,0.0,0.0,,False,0.0,0,,回避,当前无优势,81.8,0
600887,伊利股份,自动发现,今日自动发现,27.0,3.41,26.02,27.0,26.0,26.11,269616.0,1.6,1.59,20260720161446,1.0,0.0,3.8461538461538547,3.7663335895465,,C,50.0,3.41,54.86,81.68,0.0,0.0,,False,0.0,0,,回避,当前无优势,81.68,0
000933,神火股份,自动发现,今日自动发现,25.2,5.09,24.43,25.6,23.82,23.98,215213.0,3.86,0.89,20260720161409,0.7752808988764034,-1.562500000000011,5.793450881612094,3.151862464183375,,C,50.0,5.09,54.67,81.5,0.0,0.0,,False,0.0,0,,回避,当前无优势,81.5,0
601939,建设银行,自动发现,今日自动发现,10.44,2.76,9.98,10.44,9.94,10.16,172434.0,1.74,1.02,20260720161453,1.0,0.0,5.030181086519114,4.609218436873741,,C,50.0,2.76,54.47,80.97,0.0,0.0,,False,0.0,0,,回避,当前无优势,80.97,0
601166,兴业银行,自动发现,今日自动发现,18.34,3.32,17.69,18.36,17.66,17.75,329488.0,0.86,1.7,20260720161445,0.971428571428572,-0.10893246187363426,3.850509626274068,3.6743923120406974,,C,50.0,3.32,55.04,80.84,0.0,0.0,,False,0.0,0,,回避,当前无优势,80.84,0
601211,国泰海通,自动发现,今日自动发现,19.03,3.99,18.31,19.19,18.28,18.3,386462.0,1.52,1.95,20260720161446,0.824175824175824,-0.8337675872850503,4.102844638949676,3.9322774440196717,,C,50.0,3.99,55.17,80.5,0.0,0.0,,False,0.0,0,,回避,当前无优势,80.5,0
300502,新易盛,光模块/CPO,核心池,510.0,5.62,512.0,523.96,481.5,482.88,3453079.0,5.44,1.28,20260720161409,0.6712199717381059,-2.6643255210321515,5.919003115264787,-0.390625,通信ETF,C,47.26,7.74,69.08,80.38,0.0,0.0,,False,0.0,0,,回避,当前无优势,80.38,0
601328,交通银行,自动发现,今日自动发现,7.03,2.93,6.81,7.03,6.79,6.83,243608.0,1.34,1.66,20260720161440,1.0,0.0,3.53460972017674,3.2305433186490484,,C,50.0,2.93,54.77,79.6,0.0,0.0,,False,0.0,0,,回避,当前无优势,79.6,0
688802,沐曦股份-U,自动发现,今日自动发现,821.0,5.26,818.04,828.08,777.78,779.97,213445.0,14.32,0.81,20260720161500,0.8592445328031802,-0.8549898560525571,5.556841266167822,0.36184049679721664,,C,50.0,5.26,54.66,79.59,0.0,0.0,,False,0.0,0,,回避,当前无优势,79.59,0
601888,中国中免,自动发现,今日自动发现,54.67,3.35,52.5,55.14,52.4,52.9,271826.0,2.57,1.21,20260720161451,0.828467153284672,-0.8523757707653234,4.332061068702298,4.133333333333344,,C,50.0,3.35,54.87,79.03,0.0,0.0,,False,0.0,0,,回避,当前无优势,79.03,0
600309,万华化学,自动发现,今日自动发现,71.99,2.78,70.07,71.99,68.88,70.04,427421.0,1.93,1.52,20260720161433,1.0,0.0,4.5150987224158,2.7401170258313234,,C,50.0,2.78,55.26,78.61,0.0,0.0,,False,0.0,0,,回避,当前无优势,78.61,0
601869,长飞光纤,自动发现,今日自动发现,382.0,5.65,370.7,396.88,346.22,361.57,848953.0,5.61,1.45,20260720161444,0.7062771417291748,-3.7492441040112845,10.33446941251226,3.0482870245481575,,C,50.0,5.65,55.86,78.26,0.0,0.0,,False,0.0,0,,回避,当前无优势,78.26,0
300033,同花顺,自动发现,今日自动发现,224.91,4.34,217.0,229.0,217.0,215.56,421499.0,4.29,1.13,20260720161430,0.6591666666666663,-1.7860262008733585,3.645161290322574,3.645161290322574,,C,50.0,4.34,55.25,78.2,0.0,0.0,,False,0.0,0,,回避,当前无优势,78.2,0
300803,指南针,自动发现,今日自动发现,82.97,3.74,80.0,84.02,79.99,79.98,199351.0,4.0,1.22,20260720161436,0.7394540942928047,-1.2497024517971855,3.725465683210416,3.7125000000000075,,C,50.0,3.74,54.6,77.91,0.0,0.0,,False,0.0,0,,回避,当前无优势,77.91,0
601398,工商银行,自动发现,今日自动发现,7.74,2.25,7.5,7.74,7.48,7.57,476473.0,0.23,1.2,20260720161432,1.0,0.0,3.475935828876997,3.200000000000003,,C,50.0,2.25,55.36,77.8,0.0,0.0,,False,0.0,0,,回避,当前无优势,77.8,0
300454,深信服,自动发现,今日自动发现,113.02,5.15,112.6,114.79,107.2,107.48,265182.0,8.28,1.22,20260720161400,0.7667984189723308,-1.541946162557728,5.429104477611935,0.3730017761989446,,C,50.0,5.15,54.85,77.72,0.0,0.0,,False,0.0,0,,回避,当前无优势,77.72,0
002558,巨人网络,自动发现,今日自动发现,29.98,2.95,29.31,30.09,28.12,29.12,357830.0,6.4,0.84,20260720161500,0.9441624365482236,-0.36556995679627446,6.614509246088196,2.2859092459911245,,C,50.0,2.95,55.11,77.44,0.0,0.0,,False,0.0,0,,回避,当前无优势,77.44,0
688469,芯联集成-U,自动发现,今日自动发现,7.16,3.32,7.06,7.19,6.66,6.93,176828.0,4.33,1.04,20260720161449,0.9433962264150939,-0.417246175243402,7.507507507507505,1.4164305949008638,,C,50.0,3.32,54.5,77.13,0.0,0.0,,False,0.0,0,,回避,当前无优势,77.13,0
688777,中控技术,自动发现,今日自动发现,91.0,4.0,89.69,92.26,85.71,87.5,186633.0,2.68,1.13,20260720161459,0.807633587786259,-1.3657056145675361,6.171975265429941,1.460586464488789,,C,50.0,4.0,54.54,76.7,0.0,0.0,,False,0.0,0,,回避,当前无优势,76.7,0
601668,中国建筑,自动发现,今日自动发现,4.65,2.65,4.53,4.66,4.53,4.53,213669.0,1.12,1.66,20260720161445,0.9230769230769247,-0.21459227467810482,2.6490066225165476,2.6490066225165476,,C,50.0,2.65,54.66,76.66,0.0,0.0,,False,0.0,0,,回避,当前无优势,76.66,0
000333,美的集团,自动发现,今日自动发现,84.3,1.92,81.23,84.5,81.11,82.71,457195.0,0.8,1.31,20260720161409,0.9410029498525065,-0.2366863905325478,3.9329305880902554,3.7793918503016055,,C,50.0,1.92,55.32,76.65,0.0,0.0,,False,0.0,0,,回避,当前无优势,76.65,0
600089,特变电工,自动发现,今日自动发现,19.2,2.89,18.66,19.3,18.66,18.66,264248.0,2.74,1.41,20260720161441,0.8437499999999979,-0.5181347150259086,2.893890675241151,2.893890675241151,,C,50.0,2.89,54.84,76.31,0.0,0.0,,False,0.0,0,,回避,当前无优势,76.31,0
601919,中远海控,自动发现,今日自动发现,14.93,2.68,14.54,14.98,14.51,14.54,201734.0,1.08,1.51,20260720161450,0.8936170212765944,-0.33377837116155273,2.89455547898001,2.6822558459422385,,C,50.0,2.68,54.61,76.26,0.0,0.0,,False,0.0,0,,回避,当前无优势,76.26,0
